,State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks,MMR
0,Arizona,2011,15,2537848,296600,700290,662000,231904,204416,637398,864267,1092578,698254,440554,5822460,3253991,946911.3810000002,839529.6780000001,1786441.0590000001,797227.795,85543,711,4014,772,3599,0,84380,679,71480,8295,4825,178,61655,23449,47316,38227,0,0,0,0,0,0,0,0,0,0,0,85543,546,618,3421,3354,54646,18076,4482,321,17.535040856645196
1,Arizona,2012,25,2553059,294816,745004,643127,242829,213104,646268,878718,1118497,704039,417970,5907220,3292568,928504.1759999999,842897.408,1771401.5839999998,786923.752,86441,807,4452,634,3903,0,85177,724,71309,8526,5617,199,62591,23405,47122,39319,0,0,0,0,0,0,0,0,0,0,0,86441,480,688,3476,3290,55425,18265,4441,271,28.921460880832015
2,Arizona,2013,23,2569337,288820,737234,642446,262832,233746,640738,869218,1108640,728202,427141,5938211,3292568,882408.224,892285.9280000001,1774694.152,888993.3600000001,85600,956,4919,604,4791,0,84450,672,70436,8545,5568,235,61799,23347,46725,38875,0,0,0,0,0,0,0,0,0,0,0,85600,437,641,3430,3218,54667,18067,4787,261,26.869158878504674
3,Arizona,2014,24,2598709,293627,770358,604699,268779,269628,636476,864683,1131012,739127,420781,5998781,3388538,999618.71,975898.9440000001,1975517.6539999999,786140.816,86887,1039,6126,341,4567,4675,85628,702,71286,9011,6252,238,62741,24146,47663,39224,1862,8553,34117,20467,8059,4513,2887,2258,1730,794,1627,0,474,664,3440,3206,55382,17920,5388,290,27.62208385604291
4,Arizona,2015,20,2622644,259433,799290,598666,307796,284470,626751,862866,1160736,767700,410515,6079558,3440680,1101017.6,932424.28,2033441.88,870492.04,85351,972,7224,150,5118,4484,84090,716,68443,10016,6551,236,61834,23516,46489,38862,1888,7053,33852,20815,7952,4439,2806,2308,1785,747,1688,0,416,671,3389,3214,54675,17381,5197,286,23.432648709446873
5,Arizona,2016,25,2642005,271431,852613,559128,341113,336075,602802,863846,1177077,818640,410413,6232289,3486843,1007697.627,969342.354,1977039.9810000001,885658.122,84520,975,7188,160,5275,4076,83081,775,66639,10808,6685,310,61297,23220,46467,38053,2041,5683,33533,21208,7760,4402,2915,2313,1885,828,1941,0,452,637,3331,3204,54292,17118,5133,231,29.578797917652626
6,Arizona,2017,24,2666761,241241,950204,558557,357696,377412,565267,862746,1190409,834617,379858,6312462,3528548,1030336.016,1016221.8240000001,2046557.8399999999,935065.2200000001,81872,1064,7114,146,5523,3910,80473,706,63809,11020,6694,253,59884,21986,45160,36604,2365,4854,32382,20823,7643,4272,2851,2222,1814,769,1860,0,437,628,3342,3146,52693,16335,4930,213,29.3140512018761
7,Arizona,2018,24,2714655,209391,986629,562727,407482,417610,569169,845065,1246317,876120,350109,6475866,3606517,1092774.651,1009824.7600000001,2102599.411,930481.386,80723,1133,7785,130,6224,3702,79284,667,63036,10562,6825,220,58521,22199,44427,36180,2268,4429,31699,21335,7490,4175,2731,2380,1950,837,1413,0,446,663,3394,3152,52934,15417,4413,190,29.73130334601043
8,Arizona,2019,32,2744874,204097,1082933,494162,452285,486254,535036,868802,1230985,911036,351544,6613213,3657782,1053441.216,1174148.022,2227589.2380000004,947365.5380000001,79375,1207,7769,116,6357,3526,78020,706,60269,11056,7671,338,57330,22039,43435,35833,2084,3900,30735,20727,7392,4147,2874,2478,2122,931,1972,0,394,648,3279,3091,52862,14868,3998,160,40.31496062992126
9,Arkansas,2011,10,1158087,204404,260833,382842,76684,57930,338160,431653,506985,301859,251477,2811350,1490129,426176.89400000003,464920.248,891097.142,508133.98900000006,38715,694,1582,64,1757,0,38371,319,36466,1464,349,225,25263,13187,21345,17370,0,0,0,0,0,0,0,0,0,0,0,38715,298,421,1798,1628,25691,6923,1648,150,25.82978173834431
