"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Number Uninsured!!Estimate","Alabama!!Percent Uninsured!!Estimate","Alaska!!Total!!Estimate","Alaska!!Number Uninsured!!Estimate","Alaska!!Percent Uninsured!!Estimate","Arizona!!Total!!Estimate","Arizona!!Number Uninsured!!Estimate","Arizona!!Percent Uninsured!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Number Uninsured!!Estimate","Arkansas!!Percent Uninsured!!Estimate","California!!Total!!Estimate","California!!Number Uninsured!!Estimate","California!!Percent Uninsured!!Estimate","Colorado!!Total!!Estimate","Colorado!!Number Uninsured!!Estimate","Colorado!!Percent Uninsured!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Number Uninsured!!Estimate","Connecticut!!Percent Uninsured!!Estimate","Delaware!!Total!!Estimate","Delaware!!Number Uninsured!!Estimate","Delaware!!Percent Uninsured!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Number Uninsured!!Estimate","District of Columbia!!Percent Uninsured!!Estimate","Florida!!Total!!Estimate","Florida!!Number Uninsured!!Estimate","Florida!!Percent Uninsured!!Estimate","Georgia!!Total!!Estimate","Georgia!!Number Uninsured!!Estimate","Georgia!!Percent Uninsured!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Number Uninsured!!Estimate","Hawaii!!Percent Uninsured!!Estimate","Idaho!!Total!!Estimate","Idaho!!Number Uninsured!!Estimate","Idaho!!Percent Uninsured!!Estimate","Illinois!!Total!!Estimate","Illinois!!Number Uninsured!!Estimate","Illinois!!Percent Uninsured!!Estimate","Indiana!!Total!!Estimate","Indiana!!Number Uninsured!!Estimate","Indiana!!Percent Uninsured!!Estimate","Iowa!!Total!!Estimate","Iowa!!Number Uninsured!!Estimate","Iowa!!Percent Uninsured!!Estimate","Kansas!!Total!!Estimate","Kansas!!Number Uninsured!!Estimate","Kansas!!Percent Uninsured!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Number Uninsured!!Estimate","Kentucky!!Percent Uninsured!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Number Uninsured!!Estimate","Louisiana!!Percent Uninsured!!Estimate","Maine!!Total!!Estimate","Maine!!Number Uninsured!!Estimate","Maine!!Percent Uninsured!!Estimate","Maryland!!Total!!Estimate","Maryland!!Number Uninsured!!Estimate","Maryland!!Percent Uninsured!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Number Uninsured!!Estimate","Massachusetts!!Percent Uninsured!!Estimate","Michigan!!Total!!Estimate","Michigan!!Number Uninsured!!Estimate","Michigan!!Percent Uninsured!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Number Uninsured!!Estimate","Minnesota!!Percent Uninsured!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Number Uninsured!!Estimate","Mississippi!!Percent Uninsured!!Estimate","Missouri!!Total!!Estimate","Missouri!!Number Uninsured!!Estimate","Missouri!!Percent Uninsured!!Estimate","Montana!!Total!!Estimate","Montana!!Number Uninsured!!Estimate","Montana!!Percent Uninsured!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Number Uninsured!!Estimate","Nebraska!!Percent Uninsured!!Estimate","Nevada!!Total!!Estimate","Nevada!!Number Uninsured!!Estimate","Nevada!!Percent Uninsured!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Number Uninsured!!Estimate","New Hampshire!!Percent Uninsured!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Number Uninsured!!Estimate","New Jersey!!Percent Uninsured!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Number Uninsured!!Estimate","New Mexico!!Percent Uninsured!!Estimate","New York!!Total!!Estimate","New York!!Number Uninsured!!Estimate","New York!!Percent Uninsured!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Number Uninsured!!Estimate","North Carolina!!Percent Uninsured!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Number Uninsured!!Estimate","North Dakota!!Percent Uninsured!!Estimate","Ohio!!Total!!Estimate","Ohio!!Number Uninsured!!Estimate","Ohio!!Percent Uninsured!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Number Uninsured!!Estimate","Oklahoma!!Percent Uninsured!!Estimate","Oregon!!Total!!Estimate","Oregon!!Number Uninsured!!Estimate","Oregon!!Percent Uninsured!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Number Uninsured!!Estimate","Pennsylvania!!Percent Uninsured!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Number Uninsured!!Estimate","Rhode Island!!Percent Uninsured!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Number Uninsured!!Estimate","South Carolina!!Percent Uninsured!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Number Uninsured!!Estimate","South Dakota!!Percent Uninsured!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Number Uninsured!!Estimate","Tennessee!!Percent Uninsured!!Estimate","Texas!!Total!!Estimate","Texas!!Number Uninsured!!Estimate","Texas!!Percent Uninsured!!Estimate","Utah!!Total!!Estimate","Utah!!Number Uninsured!!Estimate","Utah!!Percent Uninsured!!Estimate","Vermont!!Total!!Estimate","Vermont!!Number Uninsured!!Estimate","Vermont!!Percent Uninsured!!Estimate","Virginia!!Total!!Estimate","Virginia!!Number Uninsured!!Estimate","Virginia!!Percent Uninsured!!Estimate","Washington!!Total!!Estimate","Washington!!Number Uninsured!!Estimate","Washington!!Percent Uninsured!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Number Uninsured!!Estimate","West Virginia!!Percent Uninsured!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Number Uninsured!!Estimate","Wisconsin!!Percent Uninsured!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Number Uninsured!!Estimate","Wyoming!!Percent Uninsured!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Number Uninsured!!Estimate","Puerto Rico!!Percent Uninsured!!Estimate"
"Total civilian noninstitutionalized population","4,720,067","673,964","14.3%","699,272","140,660","20.1%","6,378,280","1,095,010","17.2%","2,885,212","492,310","17.1%","37,161,789","6,725,604","18.1%","5,024,885","759,619","15.1%","3,522,709","308,945","8.8%","892,132","83,995","9.4%","608,165","42,007","6.9%","18,752,294","3,911,381","20.9%","9,619,740","1,882,758","19.6%","1,326,065","94,399","7.1%","1,565,645","259,094","16.5%","12,688,006","1,659,275","13.1%","6,417,644","930,829","14.5%","3,017,465","269,490","8.9%","2,813,530","354,630","12.6%","4,284,357","618,458","14.4%","4,473,068","784,015","17.5%","1,314,121","140,165","10.7%","5,736,588","598,444","10.4%","6,507,596","276,940","4.3%","9,762,306","1,149,911","11.8%","5,286,728","467,433","8.8%","2,911,811","516,413","17.7%","5,898,968","807,414","13.7%","983,214","179,575","18.3%","1,814,388","207,094","11.4%","2,686,989","588,794","21.9%","1,303,868","136,922","10.5%","8,712,982","1,139,104","13.1%","2,047,242","406,184","19.8%","19,208,419","2,195,349","11.4%","9,461,018","1,544,907","16.3%","669,425","65,448","9.8%","11,369,102","1,354,431","11.9%","3,710,368","693,545","18.7%","3,832,640","602,377","15.7%","12,539,757","1,264,548","10.1%","1,035,117","111,834","10.8%","4,579,231","766,304","16.7%","805,505","95,908","11.9%","6,302,351","922,650","14.6%","25,197,453","5,789,846","23.0%","2,789,648","426,064","15.3%","620,159","41,209","6.6%","7,887,164","982,861","12.5%","6,716,822","952,630","14.2%","1,826,485","272,287","14.9%","5,634,063","506,674","9.0%","558,832","85,831","15.4%","3,680,339","280,641","7.6%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 18 years","1,122,125","59,061","5.3%","187,708","22,109","11.8%","1,621,830","208,419","12.9%","708,888","39,950","5.6%","9,252,466","744,797","8.0%","1,226,828","115,726","9.4%","802,350","23,377","2.9%","204,295","9,379","4.6%","105,312","4,133","3.9%","3,986,946","475,112","11.9%","2,484,715","236,568","9.5%","304,077","10,980","3.6%","427,064","38,968","9.1%","3,091,887","113,311","3.7%","1,593,636","128,725","8.1%","721,561","31,741","4.4%","721,211","46,345","6.4%","1,022,948","62,444","6.1%","1,117,293","64,635","5.8%","269,901","14,165","5.2%","1,344,498","61,486","4.6%","1,401,873","24,099","1.7%","2,289,531","93,810","4.1%","1,276,035","79,824","6.3%","749,572","60,983","8.1%","1,409,255","94,934","6.7%","222,102","25,562","11.5%","459,191","26,892","5.9%","662,359","107,404","16.2%","279,210","10,192","3.7%","2,038,167","105,165","5.2%","516,787","47,469","9.2%","4,270,110","180,834","4.2%","2,286,872","174,572","7.6%","150,853","9,615","6.4%","2,688,340","157,202","5.8%","933,893","99,384","10.6%","861,059","62,887","7.3%","2,754,741","149,227","5.4%","218,624","8,672","4.0%","1,079,476","91,191","8.4%","200,704","12,039","6.0%","1,487,779","84,927","5.7%","6,946,969","916,522","13.2%","877,812","97,242","11.1%","125,599","3,019","2.4%","1,849,081","108,483","5.9%","1,578,179","97,208","6.2%","385,302","16,994","4.4%","1,322,921","58,236","4.4%","134,594","11,638","8.6%","875,489","34,493","3.9%"
"    18 to 64 years","2,944,024","612,682","20.8%","454,580","117,488","25.8%","3,845,434","876,902","22.8%","1,763,728","451,451","25.6%","23,607,468","5,906,415","25.0%","3,238,825","640,336","19.8%","2,227,298","281,302","12.6%","557,777","73,942","13.3%","435,158","37,374","8.6%","11,468,487","3,388,306","29.5%","6,088,938","1,634,800","26.8%","823,708","80,979","9.8%","938,531","219,444","23.4%","8,014,095","1,526,413","19.0%","4,004,670","797,672","19.9%","1,861,411","235,687","12.7%","1,728,449","305,051","17.6%","2,690,030","553,972","20.6%","2,805,080","716,142","25.5%","834,021","125,625","15.1%","3,684,538","528,208","14.3%","4,223,139","249,282","5.9%","6,122,753","1,050,220","17.2%","3,340,333","385,642","11.5%","1,788,212","453,929","25.4%","3,671,075","708,933","19.3%","614,806","152,921","24.9%","1,117,300","179,782","16.1%","1,688,466","473,575","28.0%","847,734","125,947","14.9%","5,506,938","1,015,216","18.4%","1,252,249","354,069","28.3%","12,374,574","1,982,986","16.0%","5,939,488","1,365,214","23.0%","426,165","55,703","13.1%","7,101,086","1,189,278","16.7%","2,277,736","591,263","26.0%","2,428,380","537,019","22.1%","7,883,366","1,104,456","14.0%","670,434","102,690","15.3%","2,862,576","672,992","23.5%","491,514","83,395","17.0%","3,962,855","833,572","21.0%","15,623,903","4,824,280","30.9%","1,657,744","326,866","19.7%","404,163","37,971","9.4%","5,055,962","865,862","17.1%","4,297,899","849,330","19.8%","1,148,554","254,549","22.2%","3,549,651","444,909","12.5%","354,598","73,899","20.8%","2,246,412","242,219","10.8%"
"    65 years and older","653,918","2,221","0.3%","56,984","1,063","1.9%","911,016","9,689","1.1%","412,596","909","0.2%","4,301,855","74,392","1.7%","559,232","3,557","0.6%","493,061","4,266","0.9%","130,060","674","0.5%","67,695","500","0.7%","3,296,861","47,963","1.5%","1,046,087","11,390","1.1%","198,280","2,440","1.2%","200,050","682","0.3%","1,582,024","19,551","1.2%","819,338","4,432","0.5%","434,493","2,062","0.5%","363,870","3,234","0.9%","571,379","2,042","0.4%","550,695","3,238","0.6%","210,199","375","0.2%","707,552","8,750","1.2%","882,584","3,559","0.4%","1,350,022","5,881","0.4%","670,360","1,967","0.3%","374,027","1,501","0.4%","818,638","3,547","0.4%","146,306","1,092","0.7%","237,897","420","0.2%","336,164","7,815","2.3%","176,924","783","0.4%","1,167,877","18,723","1.6%","278,206","4,646","1.7%","2,563,735","31,529","1.2%","1,234,658","5,121","0.4%","92,407","130","0.1%","1,579,676","7,951","0.5%","498,739","2,898","0.6%","543,201","2,471","0.5%","1,901,650","10,865","0.6%","146,059","472","0.3%","637,179","2,121","0.3%","113,287","474","0.4%","851,717","4,151","0.5%","2,626,581","49,044","1.9%","254,092","1,956","0.8%","90,397","219","0.2%","982,121","8,516","0.9%","840,744","6,092","0.7%","292,629","744","0.3%","761,491","3,529","0.5%","69,640","294","0.4%","558,438","3,929","0.7%"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","2,262,898","350,081","15.5%","353,412","78,284","22.2%","3,141,397","602,435","19.2%","1,412,433","257,361","18.2%","18,337,173","3,660,854","20.0%","2,498,871","423,323","16.9%","1,707,415","180,115","10.5%","428,892","46,920","10.9%","285,171","23,536","8.3%","9,088,985","2,070,860","22.8%","4,653,967","982,534","21.1%","648,083","54,566","8.4%","781,563","135,295","17.3%","6,188,923","923,738","14.9%","3,143,871","493,538","15.7%","1,490,070","146,741","9.8%","1,382,914","188,121","13.6%","2,086,414","320,747","15.4%","2,158,999","397,384","18.4%","643,061","78,902","12.3%","2,754,848","332,490","12.1%","3,141,830","164,198","5.2%","4,769,289","636,738","13.4%","2,622,717","267,882","10.2%","1,395,784","267,411","19.2%","2,870,998","420,810","14.7%","490,234","95,517","19.5%","895,007","111,600","12.5%","1,343,045","315,917","23.5%","642,689","71,791","11.2%","4,227,328","618,226","14.6%","1,007,333","218,037","21.6%","9,270,690","1,248,339","13.5%","4,539,904","805,613","17.7%","335,551","36,930","11.0%","5,532,152","740,911","13.4%","1,818,156","364,864","20.1%","1,883,948","321,231","17.1%","6,083,908","695,267","11.4%","498,833","62,796","12.6%","2,197,940","403,540","18.4%","399,329","51,322","12.9%","3,049,501","506,924","16.6%","12,368,825","2,985,758","24.1%","1,396,734","232,504","16.6%","304,952","25,514","8.4%","3,813,943","524,343","13.7%","3,320,222","515,860","15.5%","895,205","138,450","15.5%","2,782,575","291,828","10.5%","283,253","47,177","16.7%","1,749,062","175,242","10.0%"
"    Female","2,457,169","323,883","13.2%","345,860","62,376","18.0%","3,236,883","492,575","15.2%","1,472,779","234,949","16.0%","18,824,616","3,064,750","16.3%","2,526,014","336,296","13.3%","1,815,294","128,830","7.1%","463,240","37,075","8.0%","322,994","18,471","5.7%","9,663,309","1,840,521","19.0%","4,965,773","900,224","18.1%","677,982","39,833","5.9%","784,082","123,799","15.8%","6,499,083","735,537","11.3%","3,273,773","437,291","13.4%","1,527,395","122,749","8.0%","1,430,616","166,509","11.6%","2,197,943","297,711","13.5%","2,314,069","386,631","16.7%","671,060","61,263","9.1%","2,981,740","265,954","8.9%","3,365,766","112,742","3.3%","4,993,017","513,173","10.3%","2,664,011","199,551","7.5%","1,516,027","249,002","16.4%","3,027,970","386,604","12.8%","492,980","84,058","17.1%","919,381","95,494","10.4%","1,343,944","272,877","20.3%","661,179","65,131","9.9%","4,485,654","520,878","11.6%","1,039,909","188,147","18.1%","9,937,729","947,010","9.5%","4,921,114","739,294","15.0%","333,874","28,518","8.5%","5,836,950","613,520","10.5%","1,892,212","328,681","17.4%","1,948,692","281,146","14.4%","6,455,849","569,281","8.8%","536,284","49,038","9.1%","2,381,291","362,764","15.2%","406,176","44,586","11.0%","3,252,850","415,726","12.8%","12,828,628","2,804,088","21.9%","1,392,914","193,560","13.9%","315,207","15,695","5.0%","4,073,221","458,518","11.3%","3,396,600","436,770","12.9%","931,280","133,837","14.4%","2,851,488","214,846","7.5%","275,579","38,654","14.0%","1,931,277","105,399","5.5%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One Race","N","N","N","640,307","126,854","19.8%","6,186,805","1,060,224","17.1%","2,828,722","480,504","17.0%","35,590,828","6,507,497","18.3%","4,857,889","735,747","15.1%","N","N","N","N","N","N","N","N","N","18,336,058","3,828,636","20.9%","N","N","N","998,906","71,623","7.2%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","5,756,552","784,336","13.6%","N","N","N","N","N","N","2,582,768","571,095","22.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,415,789","626,074","18.3%","3,700,864","583,189","15.8%","12,298,138","1,239,748","10.1%","N","N","N","N","N","N","N","N","N","6,182,219","901,898","14.6%","24,608,580","5,680,886","23.1%","2,721,330","414,083","15.2%","N","N","N","N","N","N","6,402,776","912,490","14.3%","N","N","N","N","N","N","N","N","N","N","N","N"
