,label,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Year
0,Total,4499250,637189,5802329,2784750,30895516,4880794,3374247,819105,562051,17378020,8653736,1116026,1475547,11806723,6178328,3080480,2762515,4202568,4133067,1357504,5277491,6207042,9458336,5252096,2661569,5847757,1008994,1806631,2431983,1305057,7959072,1879710,17603749,9112581,701101,11219135,3575174,3747369,12253154,3196747,978438,4350173,799444,6076732,21864324,2303262,639522,7503091,6510966,1856181,5684378,565362,2010
1,"Less than $10,000",418610,23792,414482,236611,1690857,292621,168550,41478,54450,1291037,690960,59597,99741,725441,410969,169744,165642,378587,352520,83669,251441,393831,692661,267014,263553,429846,62265,97152,153032,53633,381074,163038,1270305,711380,46854,833231,268848,257517,800585,865151,71178,368290,53844,498610,1498007,106226,39208,381242,373185,166375,313863,28830,2010
2,"$10,000 to $14,999",291136,24791,301174,186755,1486323,215476,126902,33080,28437,974561,462251,38525,87572,507491,315917,153162,137139,300292,272832,82465,156035,283953,509365,232492,209187,331931,61089,100280,102791,44769,283163,113283,847622,553308,36898,598831,220329,197906,635485,392963,49383,265838,42025,394276,1159043,87318,34480,287530,255458,131215,282974,26476,2010
3,"$15,000 to $24,999",568262,46620,620656,379359,2969203,453430,267370,74379,42680,2033376,974635,86616,166037,1171796,723338,331022,292713,540767,513882,156186,348400,496674,1096114,471815,377892,682961,129633,190712,254529,102324,608886,246399,1712694,1059756,70117,1282581,439673,416770,1288160,594048,98166,553097,84353,755498,2393748,214379,67631,619645,593046,263855,610717,51856,2010
4,"$25,000 to $34,999",515050,52474,663570,371449,2756878,460827,254943,73764,41888,2045970,947142,85151,187691,1142148,733543,339003,297784,495678,440090,150837,385504,464157,1032475,489445,310457,654703,123738,200549,264713,111917,595550,218456,1579706,1059178,73117,1248736,427291,424180,1283604,392579,90107,489818,97092,717863,2345983,218944,66262,641981,607050,232091,609236,53180,2010
5,"$35,000 to $49,999",683128,73631,884336,442926,3942244,660949,396759,111428,55989,2708100,1211243,139278,236112,1586915,979963,479286,419528,628159,585745,206064,576108,679979,1445740,703225,403151,897811,160281,265405,352537,177965,842469,273746,2203388,1399688,98882,1697592,565809,573617,1705984,396001,119112,653656,116158,938921,3086500,345592,92734,951320,878518,288856,839904,74976,2010
6,"$50,000 to $74,999",805464,121399,1119302,508686,5360641,910342,565370,161866,86043,3274325,1615396,204729,318918,2203777,1238185,657618,570659,771567,731046,284755,932480,1052983,1854668,1054875,469610,1139032,194211,380380,486863,252362,1331205,333633,3029771,1746648,145798,2195334,715113,728245,2384544,317741,182026,828209,168779,1158660,4043290,521490,130256,1340572,1290398,346056,1180158,124718,2010
7,"$75,000 to $99,999",487371,89373,695469,289906,3913537,659129,472026,116043,63092,1990433,1026184,171027,179526,1583680,783100,422752,361282,483816,491775,175053,736512,828630,1158722,779731,294707,705935,130975,250821,328666,198862,1071818,212426,2160395,1075536,104495,1413926,410504,463703,1581812,108725,132195,515457,109314,675657,2655929,333262,87975,988958,926976,207832,796156,83604,2010
8,"$100,000 to $149,999",462295,122561,694479,243784,4692266,730266,574947,128168,77956,1849363,1035943,201934,131798,1679398,674450,358608,338352,400046,470436,146164,989375,1076395,1071399,775723,224764,657202,99607,216496,315874,218580,1425966,204555,2562549,922823,87388,1262048,342611,436935,1560357,83692,139202,439319,88734,589343,2763175,322265,75749,1211789,968341,158278,705121,81826,2010
9,"$150,000 to $199,999",155190,45879,213517,68553,2048096,263085,252745,45170,43915,602110,367599,68490,37641,613556,173225,96368,98415,109809,144609,42193,462693,457366,336446,262972,58394,180673,26601,57828,93126,81022,692466,64682,1073811,303603,20333,373372,100939,132017,532503,21873,53493,125700,18888,172269,983372,82377,25329,538912,341090,33632,189692,23726,2010
10,"$200,000 or more",110550,36225,196895,56348,2047855,237309,293958,33431,67636,613283,323456,60214,29836,589365,146432,72671,83365,95233,128422,31110,444200,466615,258215,213884,51243,166494,20673,47974,79670,64465,732855,50001,1163492,281853,17198,310505,88092,113255,475167,25275,43695,107226,20716,175509,942291,71717,20234,535577,276886,29457,153761,15929,2010
0,Total,4578902,641937,5822460,2811350,30996671,4921332,3363585,828139,594587,17505621,8656782,1126767,1479656,11743659,6151256,3058761,2760821,4171787,4147198,1375061,5264250,6238153,9362320,5259437,2649491,5826952,1008056,1817583,2414776,1309683,7942575,1884178,17542598,9154870,709052,11215074,3600616,3768181,12249371,3033004,1006013,4392702,809533,6124398,22130623,2302512,642983,7500244,6568660,1827513,5684828,559541,2011
1,"Less than $10,000",405262,23407,440554,251477,1765309,290081,175286,40967,60799,1306702,721660,62080,98162,770362,432572,176051,159941,389000,412341,86843,249994,378131,711613,283582,277717,422163,62727,108378,154217,55429,391342,173785,1296057,696980,46706,856510,274421,276455,781975,828782,71267,370005,46113,510354,1561788,114269,30778,390128,368525,172060,324013,23081,2011
2,"$10,000 to $14,999",301415,21064,296600,204404,1507416,199346,125646,31017,23895,989228,476730,42200,77270,510231,331400,152543,127261,278513,281220,86606,171834,286018,510676,208601,191976,313462,62404,82566,111206,49442,274597,120110,874314,548203,31534,622410,222423,199915,629299,364167,54134,270222,44681,371252,1137189,91054,31889,285324,274867,129559,271846,21812,2011
3,"$15,000 to $24,999",578322,41714,662000,382842,3053407,446811,261368,68207,44736,2115148,968016,74626,178561,1183638,661957,304502,286593,514210,497649,164905,357712,510853,1051637,457847,358312,658807,121757,188337,252902,101721,627509,240792,1720531,1074916,71130,1233418,426531,424228,1272450,576339,96048,530165,88816,774828,2406509,199975,64001,596855,561444,250581,586680,53436,2011
4,"$25,000 to $34,999",515260,49600,637398,338160,2792475,445443,255912,72309,36986,2068767,909737,87835,188776,1103230,687496,328414,301329,468924,451567,152075,373656,477866,1001409,464339,317520,649768,118226,187137,267310,116725,600129,210908,1537699,1054976,67083,1228471,423476,401690,1229218,377382,88565,498124,84882,727622,2311756,220438,61493,632214,601103,220413,577670,57388,2011
5,"$35,000 to $49,999",666017,76632,864267,431653,3850510,669698,363088,112137,61022,2609895,1239514,149473,243678,1510381,915426,451238,418447,625505,551693,198597,550595,672417,1355338,686082,400060,888762,163907,260720,381377,157702,850507,270461,2065283,1335036,98731,1617380,545342,561369,1702106,361936,123695,649330,113975,913639,3051768,329412,92767,896594,881333,272101,829052,74912,2011
6,"$50,000 to $74,999",822551,128766,1092578,506985,5230816,931272,549882,155592,88599,3264206,1616045,214155,295408,2187978,1270680,651269,546218,766327,685794,260271,913482,1009742,1777371,1056243,474255,1122383,205209,372903,470548,239598,1278804,325212,2967797,1710591,142015,2194193,689256,740030,2369219,301980,177238,831007,176133,1123008,3994281,516262,130083,1335880,1271369,326669,1183646,114462,2011
7,"$75,000 to $99,999",530395,100882,698254,301859,3802192,644216,463649,124560,63799,1972217,997778,164950,175055,1538764,799329,422420,373872,471752,504866,187948,716351,812259,1172827,771137,278377,725115,126836,255138,297915,196261,1049888,211096,2173420,1052240,103693,1387837,428774,480654,1573906,103834,130837,499253,116369,712408,2651707,336040,96206,1016668,920396,198705,804968,86999,2011
8,"$100,000 to $149,999",493341,117851,700290,260833,4675153,733077,572277,133357,90439,1885796,1035738,202015,155641,1662240,705289,374879,350269,432241,484397,155763,987426,1074184,1125998,822607,223190,655220,99223,228699,300439,234881,1428258,205063,2536519,1029711,98417,1322049,391241,425446,1599828,77456,158990,487828,91178,615695,2898012,317270,83263,1201341,994585,174268,729899,89520,2011
9,"$150,000 to $199,999",146009,52232,231904,76684,2086932,300943,279306,46436,44066,650108,361832,73064,38604,642740,181312,110256,103478,115431,152389,44217,467090,504583,360938,270143,68184,211859,25837,68777,96795,86600,693199,70353,1123763,348601,24253,424646,101361,137966,558554,23327,59750,141844,25384,196232,1064092,94818,29538,554691,366558,48372,213524,22064,2011
10,"$200,000 or more",124298,29421,204416,57930,2223573,262688,318961,43305,80339,659240,329303,56852,28161,638180,162087,86740,91914,106520,128085,37472,470549,513675,299565,239124,58311,179444,21909,63714,83031,71416,749883,56793,1246611,301145,25860,336440,97057,121752,521468,17612,46038,113702,21886,178498,1059672,82422,22103,590529,325432,34864,167733,15959,2011
