"Notes","Census Division","Census Division Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Division 1: New England","CENS-D1","1995","1995","0 -  8 years","19176",4424
,"Division 1: New England","CENS-D1","1995","1995","9 - 11 years","19177",16978
,"Division 1: New England","CENS-D1","1995","1995","12 years","19178",53019
,"Division 1: New England","CENS-D1","1995","1995","13 - 15 years","19179",40419
,"Division 1: New England","CENS-D1","1995","1995","16 years and over","16+",55558
,"Division 1: New England","CENS-D1","1995","1995","Not stated/Not on certificate","NR",3704
,"Division 1: New England","CENS-D1","1995","1995","Excluded","999",0
,"Division 1: New England","CENS-D1","1996","1996","0 -  8 years","19176",4121
,"Division 1: New England","CENS-D1","1996","1996","9 - 11 years","19177",16907
,"Division 1: New England","CENS-D1","1996","1996","12 years","19178",50824
,"Division 1: New England","CENS-D1","1996","1996","13 - 15 years","19179",39899
,"Division 1: New England","CENS-D1","1996","1996","16 years and over","16+",56681
,"Division 1: New England","CENS-D1","1996","1996","Not stated/Not on certificate","NR",4026
,"Division 1: New England","CENS-D1","1996","1996","Excluded","999",0
,"Division 1: New England","CENS-D1","1997","1997","0 -  8 years","19176",4178
,"Division 1: New England","CENS-D1","1997","1997","9 - 11 years","19177",17042
,"Division 1: New England","CENS-D1","1997","1997","12 years","19178",48750
,"Division 1: New England","CENS-D1","1997","1997","13 - 15 years","19179",39602
,"Division 1: New England","CENS-D1","1997","1997","16 years and over","16+",57827
,"Division 1: New England","CENS-D1","1997","1997","Not stated/Not on certificate","NR",3118
,"Division 1: New England","CENS-D1","1997","1997","Excluded","999",0
,"Division 1: New England","CENS-D1","1998","1998","0 -  8 years","19176",4042
,"Division 1: New England","CENS-D1","1998","1998","9 - 11 years","19177",16970
,"Division 1: New England","CENS-D1","1998","1998","12 years","19178",48722
,"Division 1: New England","CENS-D1","1998","1998","13 - 15 years","19179",39952
,"Division 1: New England","CENS-D1","1998","1998","16 years and over","16+",60190
,"Division 1: New England","CENS-D1","1998","1998","Not stated/Not on certificate","NR",2698
,"Division 1: New England","CENS-D1","1998","1998","Excluded","999",0
,"Division 1: New England","CENS-D1","1999","1999","0 -  8 years","19176",3964
,"Division 1: New England","CENS-D1","1999","1999","9 - 11 years","19177",16676
