"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"Under 15 years"	"15"	255
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"15-19 years"	"15-19"	14046
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"20-24 years"	"20-24"	30064
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"25-29 years"	"25-29"	48498
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"30-34 years"	"30-34"	53649
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"35-39 years"	"35-39"	23500
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"40-44 years"	"40-44"	3939
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"45-49 years"	"45-49"	151
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	"50 years and over"	"50+"	0
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"Under 15 years"	"15"	213
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"15-19 years"	"15-19"	13630
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"20-24 years"	"20-24"	28602
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"25-29 years"	"25-29"	47313
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"30-34 years"	"30-34"	53626
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"35-39 years"	"35-39"	24601
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"40-44 years"	"40-44"	4315
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"45-49 years"	"45-49"	158
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	"50 years and over"	"50+"	0
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"Under 15 years"	"15"	230
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"15-19 years"	"15-19"	13656
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"20-24 years"	"20-24"	28248
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"25-29 years"	"25-29"	45308
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"30-34 years"	"30-34"	52747
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"35-39 years"	"35-39"	25592
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"40-44 years"	"40-44"	4550
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"45-49 years"	"45-49"	178
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	"50 years and over"	"50+"	Suppressed
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"Under 15 years"	"15"	215
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"15-19 years"	"15-19"	13605
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"20-24 years"	"20-24"	28647
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"25-29 years"	"25-29"	45635
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"30-34 years"	"30-34"	52598
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"35-39 years"	"35-39"	26799
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"40-44 years"	"40-44"	4840
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"45-49 years"	"45-49"	231
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"50 years and over"	"50+"	Suppressed
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Under 15 years"	"15"	163
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"15-19 years"	"15-19"	12991
