"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Under 15 years"	"15"	123
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"15-19 years"	"15-19"	10937
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"20-24 years"	"20-24"	29242
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"25-29 years"	"25-29"	40964
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"30-34 years"	"30-34"	53962
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"35-39 years"	"35-39"	29231
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"40-44 years"	"40-44"	6320
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"45-49 years"	"45-49"	310
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"50 years and over"	"50+"	14
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Under 15 years"	"15"	109
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"15-19 years"	"15-19"	10994
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"20-24 years"	"20-24"	28709
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"25-29 years"	"25-29"	40801
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"30-34 years"	"30-34"	51738
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"35-39 years"	"35-39"	29375
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"40-44 years"	"40-44"	6360
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"45-49 years"	"45-49"	363
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"50 years and over"	"50+"	17
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Under 15 years"	"15"	132
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"15-19 years"	"15-19"	10844
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"20-24 years"	"20-24"	28941
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"25-29 years"	"25-29"	40869
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"30-34 years"	"30-34"	49402
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"35-39 years"	"35-39"	29175
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"40-44 years"	"40-44"	6335
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"45-49 years"	"45-49"	368
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"50 years and over"	"50+"	41
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Under 15 years"	"15"	117
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"15-19 years"	"15-19"	11192
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"20-24 years"	"20-24"	30185
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"25-29 years"	"25-29"	42023
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"30-34 years"	"30-34"	47599
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"35-39 years"	"35-39"	29027
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"40-44 years"	"40-44"	6346
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"45-49 years"	"45-49"	394
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"50 years and over"	"50+"	25
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"Under 15 years"	"15"	561
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"15-19 years"	"15-19"	37690
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"20-24 years"	"20-24"	102551
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"25-29 years"	"25-29"	131285
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"30-34 years"	"30-34"	146074
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"35-39 years"	"35-39"	79574
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"40-44 years"	"40-44"	17778
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"45-49 years"	"45-49"	1085
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"50 years and over"	"50+"	58
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"Under 15 years"	"15"	565
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"15-19 years"	"15-19"	36769
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"20-24 years"	"20-24"	100571
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"25-29 years"	"25-29"	131327
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"30-34 years"	"30-34"	142346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"35-39 years"	"35-39"	79316
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"40-44 years"	"40-44"	17907
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"45-49 years"	"45-49"	1069
	"Division 2: Middle Atlantic"	"CENS-D2"	"2004"	"2004"	"50 years and over"	"50+"	78
