"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"0 -  8 years"	"19176"	4289
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"9 - 11 years"	"19177"	15815
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"12 years"	"19178"	43189
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"13 - 15 years"	"19179"	37048
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"16 years and over"	"16+"	69577
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	1185
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2003"	"2003"			171103
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"0 -  8 years"	"19176"	4174
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"9 - 11 years"	"19177"	14722
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"12 years"	"19178"	38353
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"13 - 15 years"	"19179"	32082
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"16 years and over"	"16+"	62861
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	1709
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	"Excluded"	"999"	14565
"Total"	"Division 1: New England"	"CENS-D1"	"2004"	"2004"			168466
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"0 -  8 years"	"19176"	4174
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"9 - 11 years"	"19177"	13120
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"12 years"	"19178"	37223
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"13 - 15 years"	"19179"	30273
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"16 years and over"	"16+"	59055
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	1547
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	"Excluded"	"999"	20715
"Total"	"Division 1: New England"	"CENS-D1"	"2005"	"2005"			166107
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"0 -  8 years"	"19176"	4538
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"9 - 11 years"	"19177"	12956
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"12 years"	"19178"	38893
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"13 - 15 years"	"19179"	29717
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"16 years and over"	"16+"	58125
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	1790
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	"Excluded"	"999"	20889
"Total"	"Division 1: New England"	"CENS-D1"	"2006"	"2006"			166908
"Total"	"Division 1: New England"	"CENS-D1"					672584
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"0 -  8 years"	"19176"	19099
	"Division 2: Middle Atlantic"	"CENS-D2"	"2003"	"2003"	"9 - 11 years"	"19177"	44102
