"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"8th grade or less"	"1"	193
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"9th through 12th grade with no diploma"	"2"	1792
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"High school graduate or GED completed"	"3"	5086
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Some college credit, but not a degree"	"4"	3558
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Associate degree (AA, AS)"	"5"	1742
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Bachelor's degree (BA, AB, BS)"	"6"	4442
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	1814
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	435
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Unknown or Not Stated"	"Unk"	1619
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Excluded"	"Exc"	146123
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2007"	"2007"			166804
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"8th grade or less"	"1"	167
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"9th through 12th grade with no diploma"	"2"	1741
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"High school graduate or GED completed"	"3"	4923
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Some college credit, but not a degree"	"4"	3651
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Associate degree (AA, AS)"	"5"	1624
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Bachelor's degree (BA, AB, BS)"	"6"	4308
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	1850
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	377
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Unknown or Not Stated"	"Unk"	1381
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Excluded"	"Exc"	143078
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	"Not Reported"	"NR"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2008"	"2008"			163100
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"8th grade or less"	"1"	168
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	"9th through 12th grade with no diploma"	"2"	1566
