Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
New England Division!!Estimate,2010,"80,000","628,132","89,978","792,181","73,886","914,866","83,908","1,086,271","58,094","895,703","34,160","1,031,971","3,699","553,870",945,"556,758","10,714","459,646","127,583","577,386","166,407","674,235","117,574","812,411","110,734","995,757","56,853","829,627","29,642","1,086,636","3,626","479,065","1,178","357,343","570,271","560,303"
Middle Atlantic Division!!Estimate,2010,"375,402","1,598,303","469,632","2,180,886","365,817","2,402,275","347,248","2,811,822","234,587","2,368,030","164,669","2,875,948","22,077","1,579,740","9,381","1,608,215","65,829","1,360,206","528,499","1,455,315","719,309","1,816,646","495,356","2,123,895","404,052","2,565,137","226,516","2,144,255","175,752","3,013,202","18,618","1,310,744","7,125","1,007,591","1,602,760","1,614,179"
East North Central Division!!Estimate,2010,"474,637","1,741,642","546,643","2,384,536","445,501","2,577,654","481,955","3,017,926","323,249","2,585,921","208,022","3,483,349","15,807","1,729,646","7,373","1,657,061","82,357","1,651,921","669,523","1,566,839","843,599","2,010,391","579,718","2,353,985","536,270","2,833,129","283,577","2,446,851","232,173","3,643,408","10,735","1,497,190","3,472","1,070,816","1,760,926","1,670,758"
West North Central Division!!Estimate,2010,"197,743","795,117","234,791","1,082,678","176,429","1,086,256","167,072","1,343,726","112,518","1,134,298","106,653","1,495,429","3,624","758,969","1,569","746,037","40,361","774,445","262,457","744,560","317,457","986,575","207,278","1,029,330","191,720","1,291,519","100,322","1,100,972","118,676","1,570,074","2,866","672,618","1,367","500,414","770,071","753,083"
South Atlantic Division!!Estimate,2010,"818,279","2,036,349","1,030,174","2,829,070","883,555","3,222,729","837,280","3,625,378","563,942","3,251,311","457,466","4,045,688","38,291","2,431,191","17,842","2,103,287","153,717","2,052,291","1,030,198","1,772,176","1,336,395","2,237,652","1,032,856","2,796,870","888,663","3,262,044","481,501","2,927,553","469,977","4,254,002","26,905","2,102,120","7,962","1,424,500","2,504,902","2,159,069"
East South Central Division!!Estimate,2010,"243,113","659,517","284,323","897,936","234,453","988,805","229,244","1,130,721","148,409","1,029,541","95,534","1,345,463","3,534","742,854","1,724","618,060","33,432","671,098","306,764","570,276","380,194","710,447","284,548","878,077","245,145","1,016,589","123,065","952,498","103,277","1,413,191","3,986","638,171",903,"387,944","758,098","628,438"
West South Central Division!!Estimate,2010,"666,220","1,142,898","861,215","1,658,249","693,611","1,743,033","577,777","1,952,920","367,089","1,668,434","438,356","2,679,808","24,180","1,195,871","12,220","997,487","148,412","1,443,023","788,951","1,028,136","989,840","1,419,347","740,187","1,579,894","596,161","1,808,883","321,321","1,561,204","460,992","2,805,787","17,933","1,046,152","6,693","670,601","1,237,719","1,021,474"
Mountain Division!!Estimate,2010,"296,890","764,866","375,891","1,119,481","290,948","1,112,651","270,417","1,233,796","182,923","1,119,080","239,920","1,585,386","10,601","786,233","4,309","637,354","95,926","851,283","377,760","702,295","493,639","1,016,215","347,968","1,054,429","300,417","1,160,886","164,535","1,067,686","243,935","1,678,520","7,838","726,116","3,162","478,985","820,346","653,090"
Pacific Division!!Estimate,2010,"712,781","1,748,672","851,091","2,589,018","691,512","2,703,641","657,398","2,897,637","445,913","2,472,660","392,931","3,616,639","33,582","1,645,447","14,682","1,530,580","120,416","1,837,486","922,915","1,615,562","1,216,486","2,216,343","887,502","2,462,848","727,128","2,714,861","420,249","2,317,128","402,775","3,795,061","29,349","1,441,142","7,946","1,054,976","1,706,112","1,558,830"
New England Division!!Estimate,2011,"10,096","31,051","98,190","158,627","110,932","108,717","61,941","2,735","1,027","12,408","29,969","71,985","87,794","72,875","85,759","65,997","3,352","2,560","469,780","1,073,737","610,702","701,580","793,759","992,249","854,681","495,533","363,443","448,328","1,022,188","637,848","806,435","889,723","1,079,125","917,870","607,780","564,558"
