"Label (Grouping)","New England Division!!Households!!Estimate","New England Division!!Families!!Estimate","New England Division!!Married-couple families!!Estimate","New England Division!!Nonfamily households!!Estimate","Middle Atlantic Division!!Households!!Estimate","Middle Atlantic Division!!Families!!Estimate","Middle Atlantic Division!!Married-couple families!!Estimate","Middle Atlantic Division!!Nonfamily households!!Estimate","East North Central Division!!Households!!Estimate","East North Central Division!!Families!!Estimate","East North Central Division!!Married-couple families!!Estimate","East North Central Division!!Nonfamily households!!Estimate","West North Central Division!!Households!!Estimate","West North Central Division!!Families!!Estimate","West North Central Division!!Married-couple families!!Estimate","West North Central Division!!Nonfamily households!!Estimate","South Atlantic Division!!Households!!Estimate","South Atlantic Division!!Families!!Estimate","South Atlantic Division!!Married-couple families!!Estimate","South Atlantic Division!!Nonfamily households!!Estimate","East South Central Division!!Households!!Estimate","East South Central Division!!Families!!Estimate","East South Central Division!!Married-couple families!!Estimate","East South Central Division!!Nonfamily households!!Estimate","West South Central Division!!Households!!Estimate","West South Central Division!!Families!!Estimate","West South Central Division!!Married-couple families!!Estimate","West South Central Division!!Nonfamily households!!Estimate","Mountain Division!!Households!!Estimate","Mountain Division!!Families!!Estimate","Mountain Division!!Married-couple families!!Estimate","Mountain Division!!Nonfamily households!!Estimate","Pacific Division!!Households!!Estimate","Pacific Division!!Families!!Estimate","Pacific Division!!Married-couple families!!Estimate","Pacific Division!!Nonfamily households!!Estimate"
"Total","6,117,747","3,787,380","2,819,600","2,330,367","16,585,351","10,411,505","7,504,777","6,173,846","19,241,970","11,920,839","8,804,963","7,321,131","8,853,249","5,508,623","4,260,701","3,344,626","26,576,443","17,190,557","12,472,681","9,385,886","7,840,152","5,081,949","3,647,815","2,758,203","15,693,997","10,410,032","7,475,131","5,283,965","9,835,739","6,355,095","4,762,432","3,480,644","19,126,280","12,638,173","9,173,773","6,488,107"
"    Less than $10,000","4.9%","2.6%","1.1%","9.3%","5.9%","3.4%","1.4%","10.8%","5.6%","3.4%","1.3%","10.0%","5.0%","2.7%","1.2%","9.5%","5.5%","3.4%","1.5%","10.2%","6.7%","4.3%","1.7%","12.1%","6.0%","4.1%","1.7%","11.2%","4.9%","3.0%","1.5%","9.2%","4.8%","3.0%","1.5%","9.4%"
"    $10,000 to $14,999","3.6%","1.5%","0.7%","7.1%","3.7%","1.8%","0.9%","7.3%","3.9%","1.8%","0.8%","7.5%","3.7%","1.6%","0.7%","7.5%","3.6%","1.8%","0.9%","7.2%","5.2%","2.6%","1.2%","10.4%","4.2%","2.3%","1.1%","8.2%","3.1%","1.5%","0.9%","6.1%","3.1%","1.6%","0.9%","6.5%"
"    $15,000 to $24,999","5.9%","3.3%","1.9%","10.8%","6.5%","4.3%","2.6%","10.9%","7.1%","4.1%","2.3%","12.6%","7.0%","3.8%","2.1%","12.8%","6.9%","4.6%","2.8%","11.8%","8.8%","5.8%","3.4%","15.1%","7.5%","5.3%","3.2%","12.5%","6.2%","3.8%","2.6%","11.0%","5.5%","3.9%","2.6%","9.4%"
"    $25,000 to $34,999","6.0%","4.3%","2.7%","9.5%","6.7%","5.0%","3.5%","10.1%","7.8%","5.5%","3.6%","12.1%","7.6%","5.1%","3.3%","12.3%","7.5%","5.9%","4.0%","11.2%","8.6%","7.0%","5.0%","12.3%","8.2%","6.8%","4.8%","11.3%","7.0%","5.3%","3.6%","11.0%","5.8%","4.8%","3.3%","8.6%"
"    $35,000 to $49,999","8.9%","7.2%","5.2%","12.3%","9.5%","8.2%","6.3%","12.3%","11.6%","9.5%","7.3%","15.5%","11.5%","9.1%","7.1%","16.1%","11.1%","9.9%","7.8%","13.9%","12.5%","11.2%","9.1%","15.2%","11.5%","10.4%","8.3%","14.3%","10.6%","9.2%","7.3%","14.3%","8.8%","8.1%","6.2%","11.1%"
"    $50,000 to $74,999","14.1%","13.0%","11.0%","16.5%","15.0%","14.1%","12.5%","16.7%","17.3%","16.9%","15.6%","18.0%","17.5%","16.7%","15.3%","19.0%","16.6%","16.3%","14.8%","17.4%","17.5%","17.8%","17.4%","16.6%","17.2%","16.6%","15.7%","17.8%","16.9%","16.3%","14.8%","18.2%","14.2%","13.7%","12.0%","15.8%"
"    $75,000 to $99,999","12.3%","12.6%","12.4%","11.5%","11.9%","12.7%","12.6%","10.5%","13.3%","14.9%","15.7%","10.0%","13.7%","15.5%","16.3%","9.9%","13.0%","14.1%","14.8%","10.3%","12.8%","14.8%","16.5%","8.3%","12.6%","13.8%","14.8%","9.4%","13.8%","15.0%","15.4%","11.1%","12.3%","12.6%","12.4%","11.3%"
"    $100,000 to $149,999","17.8%","20.6%","22.3%","12.4%","16.9%","19.8%","22.0%","10.9%","16.9%","21.0%","24.6%","9.0%","17.4%","22.4%","25.7%","8.0%","16.6%","19.5%","22.5%","10.2%","14.9%","19.1%","23.3%","6.2%","15.6%","18.6%","21.9%","8.8%","18.2%","21.5%","24.0%","11.0%","18.0%","19.7%","21.2%","13.5%"
