"Notes"	"Division"	"Division Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"1979"	"1979"	8	12351521	0.000647694 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1980"	"1980"	7	12358962	0.000566391 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1981"	"1981"	2	12445450	0.000160701 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1982"	"1982"	7	12478426	0.000560968 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1983"	"1983"	4	12552285	0.000318667 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1984"	"1984"	4	12651562	0.000316167 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1985"	"1985"	9	12753716	0.000705677 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1986"	"1986"	8	12844121	0.000622853 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1987"	"1987"	8	12964450	0.000617072 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1988"	"1988"	11	13098942	0.000839763 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1989"	"1989"	10	13197021	0.000757747 (Unreliable)
	"Division 1: New England"	"CENS-D1"	"1990"	"1990"	Suppressed	13210156	Suppressed
	"Division 1: New England"	"CENS-D1"	"1991"	"1991"	Suppressed	13250789	Suppressed
	"Division 1: New England"	"CENS-D1"	"1992"	"1992"	Suppressed	13274512	Suppressed
	"Division 1: New England"	"CENS-D1"	"1993"	"1993"	Suppressed	13336824	Suppressed
	"Division 1: New England"	"CENS-D1"	"1994"	"1994"	Suppressed	13399226	Suppressed
	"Division 1: New England"	"CENS-D1"	"1995"	"1995"	Suppressed	13472550	Suppressed
	"Division 1: New England"	"CENS-D1"	"1996"	"1996"	Suppressed	13557240	Suppressed
	"Division 1: New England"	"CENS-D1"	"1997"	"1997"	Suppressed	13644337	Suppressed
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	Suppressed	13739172	Suppressed
"Total"	"Division 1: New England"	"CENS-D1"			140	260581262	0.000537260
	"Division 2: Middle Atlantic"	"CENS-D2"	"1979"	"1979"	53	36901760	0.001436246
	"Division 2: Middle Atlantic"	"CENS-D2"	"1980"	"1980"	63	36812157	0.001711391
