"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	Suppressed	13837653	Suppressed
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	10	13922517	Unreliable
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	Suppressed	14041043	Suppressed
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	Suppressed	14122441	Suppressed
	"Division 1: New England"	"CENS-D1"	"2003"	"2003"	Suppressed	14182454	Suppressed
	"Division 1: New England"	"CENS-D1"	"2004"	"2004"	Suppressed	14206683	Suppressed
	"Division 1: New England"	"CENS-D1"	"2005"	"2005"	18	14216656	Unreliable
	"Division 1: New England"	"CENS-D1"	"2006"	"2006"	16	14245540	Unreliable
	"Division 1: New England"	"CENS-D1"	"2007"	"2007"	16	14279205	Unreliable
	"Division 1: New England"	"CENS-D1"	"2008"	"2008"	17	14340115	Unreliable
	"Division 1: New England"	"CENS-D1"	"2009"	"2009"	12	14403575	Unreliable
	"Division 1: New England"	"CENS-D1"	"2010"	"2010"	16	14444865	Unreliable
	"Division 1: New England"	"CENS-D1"	"2011"	"2011"	26	14492360	0.001794049
	"Division 1: New England"	"CENS-D1"	"2012"	"2012"	18	14562704	Unreliable
	"Division 1: New England"	"CENS-D1"	"2013"	"2013"	18	14618806	Unreliable
	"Division 1: New England"	"CENS-D1"	"2014"	"2014"	21	14680722	0.001430447
	"Division 1: New England"	"CENS-D1"	"2015"	"2015"	20	14727584	0.001357996
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	39	14735525	0.002646665
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	31	14810001	0.002093180
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	24	14853290	0.001615804
	"Division 1: New England"	"CENS-D1"	"2019"	"2019"	22	14845063	0.001481974
	"Division 1: New England"	"CENS-D1"	"2020"	"2020"	38	14847468	0.002559359
"Total"	"Division 1: New England"	"CENS-D1"			398	317416270	0.001253874
