"Notes","Division","Division Code","Year","Year Code",Deaths,Population,Crude Rate
,"Division 1: New England","CENS-D1","1968","1968",26,11685721,0.002224938
,"Division 1: New England","CENS-D1","1969","1969",19,11762197,0.001615345 (Unreliable)
,"Division 1: New England","CENS-D1","1970","1970",15,11849320,0.001265895 (Unreliable)
,"Division 1: New England","CENS-D1","1971","1971",24,11987980,0.002002005
,"Division 1: New England","CENS-D1","1972","1972",16,12064441,0.001326212 (Unreliable)
,"Division 1: New England","CENS-D1","1973","1973",9,12121882,0.000742459 (Unreliable)
,"Division 1: New England","CENS-D1","1974","1974",6,12135217,0.000494429 (Unreliable)
,"Division 1: New England","CENS-D1","1975","1975",9,12159606,0.000740156 (Unreliable)
,"Division 1: New England","CENS-D1","1976","1976",10,12196149,0.000819931 (Unreliable)
,"Division 1: New England","CENS-D1","1977","1977",9,12255706,0.000734352 (Unreliable)
,"Division 1: New England","CENS-D1","1978","1978",10,12303742,0.000812761 (Unreliable)
,"Division 2: Middle Atlantic","CENS-D2","1968","1968",150,36924715,0.004062320
,"Division 2: Middle Atlantic","CENS-D2","1969","1969",153,37056783,0.004128799
,"Division 2: Middle Atlantic","CENS-D2","1970","1970",151,37242793,0.004054476
,"Division 2: Middle Atlantic","CENS-D2","1971","1971",107,37516660,0.002852066
,"Division 2: Middle Atlantic","CENS-D2","1972","1972",94,37533425,0.002504434
,"Division 2: Middle Atlantic","CENS-D2","1973","1973",82,37349238,0.002195493
,"Division 2: Middle Atlantic","CENS-D2","1974","1974",63,37228741,0.001692241
,"Division 2: Middle Atlantic","CENS-D2","1975","1975",64,37242035,0.001718488
,"Division 2: Middle Atlantic","CENS-D2","1976","1976",68,37198129,0.001828049
,"Division 2: Middle Atlantic","CENS-D2","1977","1977",50,37091062,0.001348034
,"Division 2: Middle Atlantic","CENS-D2","1978","1978",50,36953229,0.001353062
,"Division 3: East North Central","CENS-D3","1968","1968",157,39931045,0.003931778
,"Division 3: East North Central","CENS-D3","1969","1969",151,40088916,0.003766627
,"Division 3: East North Central","CENS-D3","1970","1970",125,40319169,0.003100262
,"Division 3: East North Central","CENS-D3","1971","1971",131,40640402,0.003223393
,"Division 3: East North Central","CENS-D3","1972","1972",100,40783969,0.002451944
,"Division 3: East North Central","CENS-D3","1973","1973",75,40893116,0.001834050
,"Division 3: East North Central","CENS-D3","1974","1974",79,40999599,0.001926848
,"Division 3: East North Central","CENS-D3","1975","1975",63,41081649,0.001533531
,"Division 3: East North Central","CENS-D3","1976","1976",66,41181188,0.001602673
,"Division 3: East North Central","CENS-D3","1977","1977",62,41382497,0.001498218
,"Division 3: East North Central","CENS-D3","1978","1978",63,41531880,0.001516907
,"Division 4: West North Central","CENS-D4","1968","1968",42,16193955,0.002593560
,"Division 4: West North Central","CENS-D4","1969","1969",48,16258305,0.002952337
,"Division 4: West North Central","CENS-D4","1970","1970",50,16344201,0.003059189
,"Division 4: West North Central","CENS-D4","1971","1971",38,16477306,0.002306202
,"Division 4: West North Central","CENS-D4","1972","1972",28,16545526,0.001692300
,"Division 4: West North Central","CENS-D4","1973","1973",28,16604386,0.001686301
,"Division 4: West North Central","CENS-D4","1974","1974",34,16660386,0.002040769
,"Division 4: West North Central","CENS-D4","1975","1975",32,16739907,0.001911600
,"Division 4: West North Central","CENS-D4","1976","1976",20,16869627,0.001185563
,"Division 4: West North Central","CENS-D4","1977","1977",26,16970577,0.001532063
