Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,29.1,25.8,54.900000000000006,24.5
2012,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,28.2,25.6,53.8,23.9
2013,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,26.8,27.1,53.900000000000006,27.0
2014,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,29.5,28.8,58.3,23.2
2015,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,32.0,27.1,59.1,25.3
2016,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,28.9,27.8,56.7,25.4
2017,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,29.2,28.8,58.0,26.5
2018,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,30.3,28.0,58.3,25.8
2019,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,28.8,32.1,60.900000000000006,25.9
2020,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,30.6,31.0,61.6,24.3
2021,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,31.4,31.6,63.0,25.9
2022,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,27.8,33.8,61.599999999999994,26.5
2023,Arizona,Division 8: Mountain,CENS-D8,Region 4: West,29.9,31.6,61.5,24.4
