Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,28.6,31.2,59.8,34.1
2012,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,26.8,35.1,61.900000000000006,33.7
2013,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,31.1,34.1,65.2,36.4
2014,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,29.6,36.0,65.6,32.4
2015,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,32.0,33.9,65.9,37.9
2016,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,27.0,39.4,66.4,35.4
2017,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,28.8,37.4,66.2,35.9
2018,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,29.4,39.4,68.8,33.4
2019,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,29.2,39.0,68.2,34.1
2020,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,24.8,39.1,63.900000000000006,34.0
2021,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,28.9,38.6,67.5,32.9
2022,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,29.4,39.6,69.0,34.5
2023,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,28.3,41.7,70.0,35.7
