Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,26.7,20.3,47.0,17.1
2012,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,27.2,19.8,47.0,18.3
2013,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,27.1,21.8,48.900000000000006,18.6
2014,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,28.5,20.7,49.2,18.0
2015,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,28.0,20.2,48.2,18.0
2016,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,28.1,22.2,50.3,16.5
2017,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,27.7,23.8,51.5,20.6
2018,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,28.4,24.2,52.599999999999994,17.3
2019,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,28.9,23.0,51.9,18.6
2020,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,29.8,24.1,53.900000000000006,18.1
2021,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,29.9,25.8,55.7,19.0
2022,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,29.5,25.2,54.7,17.8
2023,Colorado,Division 8: Mountain,CENS-D8,Region 4: West,29.2,25.3,54.5,18.5
