Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 1: New England,Region 1: Northeast,7441846,29.154969076221143,22.981834937191657,52.13680401341281,24.921309148294657
2012,Division 1: New England,Region 1: Northeast,7478124,28.637094249841265,23.064547699396265,51.70164194923753,21.75390920236145
2013,Division 1: New England,Region 1: Northeast,7478124,29.14469896460663,23.549657735014822,52.69435669962146,24.83936967346356
2014,Division 1: New England,Region 1: Northeast,7534325,28.321884243114013,24.68964954392066,53.01153378703467,22.06342724796183
2015,Division 1: New England,Region 1: Northeast,7549066,28.85184715566137,24.260364341760955,53.11221149742232,26.399735026823183
2016,Division 1: New England,Region 1: Northeast,7549899,29.887073284026712,23.79984336214299,53.6869166461697,22.09953791434826
2017,Division 1: New England,Region 1: Northeast,7584572,30.11754183360643,25.06880562278267,55.18634745638909,25.835919864693746
2018,Division 1: New England,Region 1: Northeast,7612676,29.869567836592548,25.908095221706535,55.77766305829909,24.15031992692189
2019,Division 1: New England,Region 1: Northeast,7600055,29.40267220434589,26.716280619021838,56.11895282336773,26.370166123797787
2020,Division 1: New England,Region 1: Northeast,7592684,29.042421059535734,26.445099690702257,55.487520750237984,21.897307724119692
2021,Division 1: New England,Region 1: Northeast,7692843,28.98708836252085,28.72845652771024,57.71554489023109,24.38444933817056
2022,Division 1: New England,Region 1: Northeast,7695490,29.89503836662773,28.976343286782257,58.87138165340999,23.972666652805735
2023,Division 1: New England,Region 1: Northeast,7719432,29.166563070961697,29.39454557019221,58.5611086411539,25.129299176416087
