Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 2: Middle Atlantic,Region 1: Northeast,21075851,30.57628162677749,24.49990233846311,55.0761839652406,28.43341165678197
2012,Division 2: Middle Atlantic,Region 1: Northeast,21161746,29.915394022780546,24.845277998327735,54.76067202110828,26.853639165690772
2013,Division 2: Middle Atlantic,Region 1: Northeast,21161746,28.672359955553766,26.95396290079278,55.62632285634655,28.672335794031362
2014,Division 2: Middle Atlantic,Region 1: Northeast,21280661,28.727778592027757,26.896932087776786,55.624710679804544,26.007824451505524
2015,Division 2: Middle Atlantic,Region 1: Northeast,21302577,29.969531254364203,25.951613229704563,55.92114448406876,30.56043280115828
2016,Division 2: Middle Atlantic,Region 1: Northeast,21258854,29.796413696617897,26.543782073107046,56.34019576972493,28.15195789951801
2017,Division 2: Middle Atlantic,Region 1: Northeast,21353315,29.635151797273636,26.86934900271925,56.504500799992876,28.92589874218593
2018,Division 2: Middle Atlantic,Region 1: Northeast,21144470,29.495068791036143,27.99376999281609,57.48883878385224,27.407986031335852
2019,Division 2: Middle Atlantic,Region 1: Northeast,16532213,30.539495390000116,29.872246450006422,60.41174184000654,28.33362446999685
2020,Division 2: Middle Atlantic,Region 1: Northeast,21110703,30.618771975523508,28.179000779841388,58.79777275536491,26.562240930583886
2021,Division 2: Middle Atlantic,Region 1: Northeast,21407334,29.70036199743508,30.153251656651875,59.85361365408697,27.415730197884518
2022,Division 2: Middle Atlantic,Region 1: Northeast,21317425,30.254784764107296,30.89422873541246,61.149013499519754,26.857746172438745
2023,Division 2: Middle Atlantic,Region 1: Northeast,14737004,30.564025116638366,28.667987441680822,59.23201255831917,28.191761391935565
