Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 3: East North Central,Region 2: Midwest,23678011,29.848077750280627,28.21863121864417,58.06670896892479,26.69712020152368
2012,Division 3: East North Central,Region 2: Midwest,23695974,29.394095520192586,29.600899089440258,58.99499460963283,24.975241059937016
2013,Division 3: East North Central,Region 2: Midwest,23695974,29.553381477376707,30.94720625537486,60.50058773275156,27.507731942143423
2014,Division 3: East North Central,Region 2: Midwest,23774630,29.083230477193545,31.426777872042592,60.510008349236145,26.0899230356056
2015,Division 3: East North Central,Region 2: Midwest,23794172,29.830132521526696,30.36274562947599,60.192878151002695,26.786356129559795
2016,Division 3: East North Central,Region 2: Midwest,23751172,29.275210882225096,31.706321233326936,60.98153211555203,26.467659044362108
2017,Division 3: East North Central,Region 2: Midwest,23807242,29.876947749764547,32.56202076662219,62.43896851638674,28.235210370021026
2018,Division 3: East North Central,Region 2: Midwest,23819655,29.235249943796415,33.903347579971246,63.13859752376766,27.217677271144357
2019,Division 3: East North Central,Region 2: Midwest,23824303,29.221735049289794,35.02516811929399,64.24690316858378,28.105785289920128
2020,Division 3: East North Central,Region 2: Midwest,23798237,29.859175013678534,34.87784990543627,64.7370249191148,25.16119674747335
2021,Division 3: East North Central,Region 2: Midwest,23824202,28.86313678838015,36.29974072583837,65.16287751421854,27.687604012927693
2022,Division 3: East North Central,Region 2: Midwest,23728011,28.51205718422838,37.17798113798919,65.69003832221757,26.666359607638412
2023,Division 3: East North Central,Region 2: Midwest,23797475,29.692043992062178,37.40906581475556,67.10110980681773,26.812438475090318
