Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 4: West North Central,Region 2: Midwest,10435140,29.80386282311498,27.354895085259994,57.158757908374966,25.608072627679167
2012,Division 4: West North Central,Region 2: Midwest,10468176,30.268563033330736,27.608307474005024,57.87687050733577,23.182597952116968
2013,Division 4: West North Central,Region 2: Midwest,10468176,29.2381434645348,28.083005950606864,57.32114941514166,26.247508257407976
2014,Division 4: West North Central,Region 2: Midwest,10593085,29.720531469350053,28.834264881288124,58.55479635063817,24.016649889998995
2015,Division 4: West North Central,Region 2: Midwest,10645924,29.364292014483667,29.043173950894257,58.407465965377924,24.952041927032354
2016,Division 4: West North Central,Region 2: Midwest,10661366,29.699516703581885,29.511787382592438,59.21130408617432,23.065735713416085
2017,Division 4: West North Central,Region 2: Midwest,10709859,29.958736823706083,31.57768988368568,61.536426707391755,26.694559928380013
2018,Division 4: West North Central,Region 2: Midwest,10767382,28.634428396800633,32.87211426138684,61.50654265818748,24.49600562142218
2019,Division 4: West North Central,Region 2: Midwest,10793070,29.218448902860818,32.970409679544375,62.188858582405196,26.398188800776794
2020,Division 4: West North Central,Region 2: Midwest,10749230,30.18730113691865,33.41807438300231,63.60537551992096,23.87366065290258
2021,Division 4: West North Central,Region 2: Midwest,10816015,28.995057024236747,34.87400095136702,63.86905797560377,24.69726069166879
2022,Division 4: West North Central,Region 2: Midwest,10842238,29.305126718302994,36.035451831992624,65.34057855029562,25.543847238918755
2023,Division 4: West North Central,Region 2: Midwest,10896525,29.183420521680077,35.70922648275482,64.8926470044349,26.508698002344783
