Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 5: South Atlantic,Region 3: South,30650122,29.508928411443193,28.436746271352526,57.945674682795726,28.964798848108984
2012,Division 5: South Atlantic,Region 3: South,30996654,30.438552912840205,27.90571528462395,58.344268197464146,26.471031712003494
2013,Division 5: South Atlantic,Region 3: South,30996654,30.094004772257033,28.73754191662107,58.83154668887809,29.389905068463197
2014,Division 5: South Atlantic,Region 3: South,31660398,29.58000111053563,29.90447365822755,59.48447476876317,26.023380075638975
2015,Division 5: South Atlantic,Region 3: South,32051297,29.996854863626893,29.569820768875594,59.56667563250249,27.572912543913592
2016,Division 5: South Atlantic,Region 3: South,32400002,29.56160689125884,30.50776252421219,60.06936941547103,29.017404813740445
2017,Division 5: South Atlantic,Region 3: South,32788880,29.603400808444814,31.354686976194373,60.95808778463918,29.83408185031023
2018,Division 5: South Atlantic,Region 3: South,33090367,30.629382224742326,32.32727225116602,62.95665447590836,27.99001884143503
2019,Division 5: South Atlantic,Region 3: South,33345648,30.35424517466267,32.714722415950654,63.068967590613326,27.925266358596478
2020,Division 5: South Atlantic,Region 3: South,33049805,29.705210378699665,32.329849561896054,62.035059940595715,26.9176248362131
2021,Division 5: South Atlantic,Region 3: South,22543733,29.226760505902018,36.6139253068691,65.84068581277111,26.028703671215407
2022,Division 5: South Atlantic,Region 3: South,34023828,28.811307278534326,35.14125366787065,63.95256094640498,26.29762703361891
2023,Division 5: South Atlantic,Region 3: South,34450939,29.450194344485066,34.62092308427355,64.07111742875863,26.989089562986944
