Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 7: West South Central,Region 3: South,18676032,28.932981583025768,30.65605116761419,59.58903275063996,30.269873279291875
2012,Division 7: West South Central,Region 3: South,18891869,29.220058121300756,31.282406960370096,60.502465081670856,29.968723369826456
2013,Division 7: West South Central,Region 3: South,18891869,29.210081448267506,32.69958844199058,61.90966989025808,34.04047745090758
2014,Division 7: West South Central,Region 3: South,19417281,30.1620536572551,31.905735885472325,62.067789542727425,30.55751503003948
2015,Division 7: West South Central,Region 3: South,19714537,29.64138875287814,33.66269909356735,63.3040878464455,32.32809561796962
2016,Division 7: West South Central,Region 3: South,19921183,28.1012915347447,34.95546779526096,63.05675933000566,29.68010639729578
2017,Division 7: West South Central,Region 3: South,20143008,30.88180619299759,33.41779142916489,64.29959762216248,34.09237588546855
2018,Division 7: West South Central,Region 3: South,20365257,27.553910053774427,36.90603797437961,64.45994802815403,29.79684685049641
2019,Division 7: West South Central,Region 3: South,20528304,30.764688894903347,35.82594375550946,66.5906326504128,30.97029853513471
2020,Division 7: West South Central,Region 3: South,20327493,28.604668741000182,37.00598133768882,65.61065007868899,28.941501950092913
2021,Division 7: West South Central,Region 3: South,20686253,28.915862544076976,37.505900619121306,66.42176316319828,28.58103770653873
2022,Division 7: West South Central,Region 3: South,20907280,29.115893416073252,38.035895802801704,67.15178921887495,30.320456903050037
2023,Division 7: West South Central,Region 3: South,21222433,30.25826325379376,37.0245050649942,67.28276831878796,32.044008069197346
