Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 9: Pacific,Region 4: West,25356952,28.62223228564695,24.649361338854924,53.27159362450187,20.43198172240891
2012,Division 9: Pacific,Region 4: West,25587276,29.267871105153986,24.33399939876367,53.601870503917645,20.63240982744705
2013,Division 9: Pacific,Region 4: West,25587276,29.187233228734467,23.808664751965004,52.99589798069947,21.378177012668328
2014,Division 9: Pacific,Region 4: West,26129320,28.02397865309928,25.680696566156335,53.70467521925561,21.902036715842584
2015,Division 9: Pacific,Region 4: West,26382910,29.993757580191115,24.38336144875603,54.37711902894715,20.228258478689423
2016,Division 9: Pacific,Region 4: West,26536308,29.226076182112447,25.789956195111998,55.01603237722444,21.485878932366926
2017,Division 9: Pacific,Region 4: West,26747697,29.23395976483508,26.35408190469632,55.58804166953141,21.256309131960037
2018,Division 9: Pacific,Region 4: West,26827269,29.981196516872437,26.31582086122892,56.297017378101366,21.731646001685824
2019,Division 9: Pacific,Region 4: West,26865940,30.082352149226864,27.952432280426443,58.03478442965331,23.691941305608513
2020,Division 9: Pacific,Region 4: West,26702479,29.82564367900074,29.24301776250812,59.06866144150885,21.354280128822495
2021,Division 9: Pacific,Region 4: West,26650398,29.519911188568365,28.865712647143205,58.38562383571158,21.6138639618065
2022,Division 9: Pacific,Region 4: West,26529581,29.42769281203499,28.73353220693534,58.16122501897033,22.86097530526396
2023,Division 9: Pacific,Region 4: West,26585098,29.645686534614242,28.121639088936213,57.76732562355045,23.632939276733154
