Year,Census Division,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Division 1: New England,Region 1: Northeast,7441846,29.154969076221143,22.981834937191657,52.13680401341281,24.921309148294657
2012,Division 1: New England,Region 1: Northeast,7478124,28.637094249841265,23.064547699396265,51.70164194923753,21.75390920236145
2013,Division 1: New England,Region 1: Northeast,7478124,29.14469896460663,23.549657735014822,52.69435669962146,24.83936967346356
2014,Division 1: New England,Region 1: Northeast,7534325,28.321884243114013,24.68964954392066,53.01153378703467,22.06342724796183
2015,Division 1: New England,Region 1: Northeast,7549066,28.85184715566137,24.260364341760955,53.11221149742232,26.399735026823183
2016,Division 1: New England,Region 1: Northeast,7549899,29.887073284026712,23.79984336214299,53.6869166461697,22.09953791434826
2017,Division 1: New England,Region 1: Northeast,7584572,30.11754183360643,25.06880562278267,55.18634745638909,25.835919864693746
2018,Division 1: New England,Region 1: Northeast,7612676,29.869567836592548,25.908095221706535,55.77766305829909,24.15031992692189
2019,Division 1: New England,Region 1: Northeast,7600055,29.40267220434589,26.716280619021838,56.11895282336773,26.370166123797787
2020,Division 1: New England,Region 1: Northeast,7592684,29.042421059535734,26.445099690702257,55.487520750237984,21.897307724119692
2021,Division 1: New England,Region 1: Northeast,7692843,28.98708836252085,28.72845652771024,57.71554489023109,24.38444933817056
2022,Division 1: New England,Region 1: Northeast,7695490,29.89503836662773,28.976343286782257,58.87138165340999,23.972666652805735
2023,Division 1: New England,Region 1: Northeast,7719432,29.166563070961697,29.39454557019221,58.5611086411539,25.129299176416087
2011,Division 2: Middle Atlantic,Region 1: Northeast,21075851,30.57628162677749,24.49990233846311,55.0761839652406,28.43341165678197
2012,Division 2: Middle Atlantic,Region 1: Northeast,21161746,29.915394022780546,24.845277998327735,54.76067202110828,26.853639165690772
2013,Division 2: Middle Atlantic,Region 1: Northeast,21161746,28.672359955553766,26.95396290079278,55.62632285634655,28.672335794031362
2014,Division 2: Middle Atlantic,Region 1: Northeast,21280661,28.727778592027757,26.896932087776786,55.624710679804544,26.007824451505524
2015,Division 2: Middle Atlantic,Region 1: Northeast,21302577,29.969531254364203,25.951613229704563,55.92114448406876,30.56043280115828
2016,Division 2: Middle Atlantic,Region 1: Northeast,21258854,29.796413696617897,26.543782073107046,56.34019576972493,28.15195789951801
2017,Division 2: Middle Atlantic,Region 1: Northeast,21353315,29.635151797273636,26.86934900271925,56.504500799992876,28.92589874218593
2018,Division 2: Middle Atlantic,Region 1: Northeast,21144470,29.495068791036143,27.99376999281609,57.48883878385224,27.407986031335852
2019,Division 2: Middle Atlantic,Region 1: Northeast,16532213,30.539495390000116,29.872246450006422,60.41174184000654,28.33362446999685
2020,Division 2: Middle Atlantic,Region 1: Northeast,21110703,30.618771975523508,28.179000779841388,58.79777275536491,26.562240930583886
2021,Division 2: Middle Atlantic,Region 1: Northeast,21407334,29.70036199743508,30.153251656651875,59.85361365408697,27.415730197884518
2022,Division 2: Middle Atlantic,Region 1: Northeast,21317425,30.254784764107296,30.89422873541246,61.149013499519754,26.857746172438745
2023,Division 2: Middle Atlantic,Region 1: Northeast,14737004,30.564025116638366,28.667987441680822,59.23201255831917,28.191761391935565
2011,Division 3: East North Central,Region 2: Midwest,23678011,29.848077750280627,28.21863121864417,58.06670896892479,26.69712020152368
2012,Division 3: East North Central,Region 2: Midwest,23695974,29.394095520192586,29.600899089440258,58.99499460963283,24.975241059937016
2013,Division 3: East North Central,Region 2: Midwest,23695974,29.553381477376707,30.94720625537486,60.50058773275156,27.507731942143423
2014,Division 3: East North Central,Region 2: Midwest,23774630,29.083230477193545,31.426777872042592,60.510008349236145,26.0899230356056
2015,Division 3: East North Central,Region 2: Midwest,23794172,29.830132521526696,30.36274562947599,60.192878151002695,26.786356129559795
2016,Division 3: East North Central,Region 2: Midwest,23751172,29.275210882225096,31.706321233326936,60.98153211555203,26.467659044362108
2017,Division 3: East North Central,Region 2: Midwest,23807242,29.876947749764547,32.56202076662219,62.43896851638674,28.235210370021026
2018,Division 3: East North Central,Region 2: Midwest,23819655,29.235249943796415,33.903347579971246,63.13859752376766,27.217677271144357
2019,Division 3: East North Central,Region 2: Midwest,23824303,29.221735049289794,35.02516811929399,64.24690316858378,28.105785289920128
2020,Division 3: East North Central,Region 2: Midwest,23798237,29.859175013678534,34.87784990543627,64.7370249191148,25.16119674747335
2021,Division 3: East North Central,Region 2: Midwest,23824202,28.86313678838015,36.29974072583837,65.16287751421854,27.687604012927693
2022,Division 3: East North Central,Region 2: Midwest,23728011,28.51205718422838,37.17798113798919,65.69003832221757,26.666359607638412
2023,Division 3: East North Central,Region 2: Midwest,23797475,29.692043992062178,37.40906581475556,67.10110980681773,26.812438475090318
2011,Division 4: West North Central,Region 2: Midwest,10435140,29.80386282311498,27.354895085259994,57.158757908374966,25.608072627679167
2012,Division 4: West North Central,Region 2: Midwest,10468176,30.268563033330736,27.608307474005024,57.87687050733577,23.182597952116968
2013,Division 4: West North Central,Region 2: Midwest,10468176,29.2381434645348,28.083005950606864,57.32114941514166,26.247508257407976
2014,Division 4: West North Central,Region 2: Midwest,10593085,29.720531469350053,28.834264881288124,58.55479635063817,24.016649889998995
2015,Division 4: West North Central,Region 2: Midwest,10645924,29.364292014483667,29.043173950894257,58.407465965377924,24.952041927032354
2016,Division 4: West North Central,Region 2: Midwest,10661366,29.699516703581885,29.511787382592438,59.21130408617432,23.065735713416085
2017,Division 4: West North Central,Region 2: Midwest,10709859,29.958736823706083,31.57768988368568,61.536426707391755,26.694559928380013
2018,Division 4: West North Central,Region 2: Midwest,10767382,28.634428396800633,32.87211426138684,61.50654265818748,24.49600562142218
2019,Division 4: West North Central,Region 2: Midwest,10793070,29.218448902860818,32.970409679544375,62.188858582405196,26.398188800776794
2020,Division 4: West North Central,Region 2: Midwest,10749230,30.18730113691865,33.41807438300231,63.60537551992096,23.87366065290258
2021,Division 4: West North Central,Region 2: Midwest,10816015,28.995057024236747,34.87400095136702,63.86905797560377,24.69726069166879
2022,Division 4: West North Central,Region 2: Midwest,10842238,29.305126718302994,36.035451831992624,65.34057855029562,25.543847238918755
2023,Division 4: West North Central,Region 2: Midwest,10896525,29.183420521680077,35.70922648275482,64.8926470044349,26.508698002344783
2011,Division 5: South Atlantic,Region 3: South,30650122,29.508928411443193,28.436746271352526,57.945674682795726,28.964798848108984
2012,Division 5: South Atlantic,Region 3: South,30996654,30.438552912840205,27.90571528462395,58.344268197464146,26.471031712003494
2013,Division 5: South Atlantic,Region 3: South,30996654,30.094004772257033,28.73754191662107,58.83154668887809,29.389905068463197
2014,Division 5: South Atlantic,Region 3: South,31660398,29.58000111053563,29.90447365822755,59.48447476876317,26.023380075638975
