Year,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Region 1: Northeast,28517697,30.205382492842954,24.1037545072451,54.30913700008805,27.516909668406953
2012,Region 1: Northeast,28639870,29.581618617682278,24.380313527959448,53.961932145641725,25.522054454157793
2013,Region 1: Northeast,28639870,28.79569185893651,26.0650686368339,54.860760495770414,27.67151435394085
2014,Region 1: Northeast,28814986,28.62164840198083,26.319788512130458,54.941436914111286,24.976473249023964
2015,Region 1: Northeast,28851643,29.677087907957272,25.509095988051705,55.18618389600898,29.47178138173968
2016,Region 1: Northeast,28808753,29.82017282039247,25.824679093190877,55.64485191358335,26.56580248371042
2017,Region 1: Northeast,28937887,29.761585422598415,26.397429580812172,56.15901500341057,28.11602042332946
2018,Region 1: Northeast,28757146,29.594207276340985,27.441644052577402,57.03585132891838,26.545607109272947
2019,Region 1: Northeast,24132268,30.181471903096718,28.87832768971404,59.059799592810755,27.715266037158216
2020,Region 1: Northeast,28703387,30.201792112547555,27.72034539338511,57.92213750593267,25.32826238589892
2021,Region 1: Northeast,29100177,29.511802935081803,29.77659672310584,59.28839965818765,26.6143891014821
2022,Region 1: Northeast,29012915,30.15936433481434,30.38552189602458,60.54488623083893,26.092497296462625
2023,Region 1: Northeast,22456436,30.083645539301074,28.917742837732575,59.00138837703365,27.139035624352857
