Year,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Region 2: Midwest,34113151,29.834552498536414,27.954416181020626,57.78896867955704,26.36398287569507
2012,Region 2: Midwest,34164150,29.662039544376196,28.99035266207413,58.65239220645033,24.425960496602432
2013,Region 2: Midwest,34164150,29.45678996257773,30.069591770906058,59.52638173348378,27.121589060462505
2014,Region 2: Midwest,34367715,29.279664356504355,30.627693310422295,59.90735766692665,25.450882626325317
2015,Region 2: Midwest,34440096,29.686134588591155,29.954847236778896,59.64098182537006,26.219343494280622
2016,Region 2: Midwest,34412538,29.406665285774626,31.026431578513623,60.43309686428825,25.413707437097493
2017,Region 2: Midwest,34517101,29.902325009855257,32.25660563440713,62.15893064426239,27.757182131257196
2018,Region 2: Midwest,34587037,29.048206598327575,33.58231160709141,62.63051820541898,26.370386468780193
2019,Region 2: Midwest,34617373,29.220710488343528,34.38453164831428,63.6052421366578,27.57338762822933
2020,Region 2: Midwest,34547467,29.96126942099691,34.423649809116256,64.38491923011317,24.76058788043708
2021,Region 2: Midwest,34640217,28.904327386286294,35.8545696466047,64.758897032891,26.753903216022003
2022,Region 2: Midwest,34570249,28.76078691246916,36.81965063659217,65.58043754906134,26.314307001375663
2023,Region 2: Midwest,34694000,29.53229797371303,36.875188436040816,66.40748640975384,26.717041125266615
