Year,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Region 3: South,58846372,29.353611840335713,29.72375775349413,59.07736959382984,30.411711301420585
2012,Region 3: South,59454072,29.95357016925603,29.81417140948731,59.76774157874334,28.4109077272285
2013,Region 3: South,59454072,29.762162228349975,30.905191223908098,60.66735345225807,32.11189753832168
2014,Region 3: South,60713790,30.047204397880613,30.903022524207437,60.95022692208805,28.326965083220795
2015,Region 3: South,61451651,29.74696856883471,31.746683009379197,61.49365157821391,30.08005975299183
2016,Region 3: South,62037521,29.103626136189426,32.67989674829206,61.78352288448148,29.810613422157857
2017,Region 3: South,62687554,30.091658267604444,32.54145932859336,62.633117596197806,32.034017195821676
2018,Region 3: South,63251125,29.363964904972047,34.59296297417635,63.95692787914838,29.578219152623763
2019,Region 3: South,63718245,30.423338725038647,34.51553543886841,64.93887416390706,29.971037403807966
2020,Region 3: South,63176113,29.373061248639974,34.78328438313386,64.15634563177383,28.184317708815037
2021,Region 3: South,53180612,29.214327383069605,37.55956174592349,66.7738891289931,28.285779763121194
2022,Region 3: South,64925397,28.83222838976248,36.923150846501564,65.75537923626406,28.486416999498676
2023,Region 3: South,63454302,29.62425741126268,36.12691375755737,65.75117116882005,29.36895618204105
