Year,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Region 4: West,36521125,28.479364759437175,24.42793918040586,52.90730393984303,21.019875378975865
2012,Region 4: West,36886418,28.900962497903706,24.30734633815623,53.20830883605993,20.853380396003757
2013,Region 4: West,36886418,28.847419941941777,24.2610239438267,53.10844388576847,22.102044047757634
2014,Region 4: West,37724204,28.271925528236462,25.79964232247286,54.07156785070932,21.72692471655598
2015,Region 4: West,38155074,30.046581345904343,24.54349302271043,54.59007436861477,21.045356612334178
2016,Region 4: West,38449493,29.15022532286707,25.76928591230059,54.91951123516765,21.604031725463845
2017,Region 4: West,38809238,29.276112574021678,26.435154794845495,55.711267368867176,22.081223653502295
2018,Region 4: West,39085733,29.89122965917001,26.664409724643008,56.555639383813016,22.045113921747355
2019,Region 4: West,39271671,29.888533197377825,28.273709985500744,58.16224318287857,23.532214170362142
2020,Region 4: West,38954974,29.836629697147277,28.993978412102138,58.830608109249404,21.60825893247933
2021,Region 4: West,39204403,29.93584089266708,29.33775258865694,59.27359348132401,22.079235148664296
2022,Region 4: West,39198747,29.381409171063556,29.56562741661104,58.947036587674596,22.994237928064383
2023,Region 4: West,39368591,29.699764863314513,28.794056223653016,58.49382108696752,23.301193382816265
