Year,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Region 1: Northeast,28517697,30.205382492842954,24.1037545072451,54.30913700008805,27.516909668406953
2012,Region 1: Northeast,28639870,29.581618617682278,24.380313527959448,53.961932145641725,25.522054454157793
2013,Region 1: Northeast,28639870,28.79569185893651,26.0650686368339,54.860760495770414,27.67151435394085
2014,Region 1: Northeast,28814986,28.62164840198083,26.319788512130458,54.941436914111286,24.976473249023964
2015,Region 1: Northeast,28851643,29.677087907957272,25.509095988051705,55.18618389600898,29.47178138173968
2016,Region 1: Northeast,28808753,29.82017282039247,25.824679093190877,55.64485191358335,26.56580248371042
2017,Region 1: Northeast,28937887,29.761585422598415,26.397429580812172,56.15901500341057,28.11602042332946
2018,Region 1: Northeast,28757146,29.594207276340985,27.441644052577402,57.03585132891838,26.545607109272947
2019,Region 1: Northeast,24132268,30.181471903096718,28.87832768971404,59.059799592810755,27.715266037158216
2020,Region 1: Northeast,28703387,30.201792112547555,27.72034539338511,57.92213750593267,25.32826238589892
2021,Region 1: Northeast,29100177,29.511802935081803,29.77659672310584,59.28839965818765,26.6143891014821
2022,Region 1: Northeast,29012915,30.15936433481434,30.38552189602458,60.54488623083893,26.092497296462625
2023,Region 1: Northeast,22456436,30.083645539301074,28.917742837732575,59.00138837703365,27.139035624352857
2011,Region 2: Midwest,34113151,29.834552498536414,27.954416181020626,57.78896867955704,26.36398287569507
2012,Region 2: Midwest,34164150,29.662039544376196,28.99035266207413,58.65239220645033,24.425960496602432
2013,Region 2: Midwest,34164150,29.45678996257773,30.069591770906058,59.52638173348378,27.121589060462505
2014,Region 2: Midwest,34367715,29.279664356504355,30.627693310422295,59.90735766692665,25.450882626325317
2015,Region 2: Midwest,34440096,29.686134588591155,29.954847236778896,59.64098182537006,26.219343494280622
2016,Region 2: Midwest,34412538,29.406665285774626,31.026431578513623,60.43309686428825,25.413707437097493
2017,Region 2: Midwest,34517101,29.902325009855257,32.25660563440713,62.15893064426239,27.757182131257196
2018,Region 2: Midwest,34587037,29.048206598327575,33.58231160709141,62.63051820541898,26.370386468780193
2019,Region 2: Midwest,34617373,29.220710488343528,34.38453164831428,63.6052421366578,27.57338762822933
2020,Region 2: Midwest,34547467,29.96126942099691,34.423649809116256,64.38491923011317,24.76058788043708
2021,Region 2: Midwest,34640217,28.904327386286294,35.8545696466047,64.758897032891,26.753903216022003
2022,Region 2: Midwest,34570249,28.76078691246916,36.81965063659217,65.58043754906134,26.314307001375663
2023,Region 2: Midwest,34694000,29.53229797371303,36.875188436040816,66.40748640975384,26.717041125266615
2011,Region 3: South,58846372,29.353611840335713,29.72375775349413,59.07736959382984,30.411711301420585
2012,Region 3: South,59454072,29.95357016925603,29.81417140948731,59.76774157874334,28.4109077272285
2013,Region 3: South,59454072,29.762162228349975,30.905191223908098,60.66735345225807,32.11189753832168
2014,Region 3: South,60713790,30.047204397880613,30.903022524207437,60.95022692208805,28.326965083220795
2015,Region 3: South,61451651,29.74696856883471,31.746683009379197,61.49365157821391,30.08005975299183
2016,Region 3: South,62037521,29.103626136189426,32.67989674829206,61.78352288448148,29.810613422157857
2017,Region 3: South,62687554,30.091658267604444,32.54145932859336,62.633117596197806,32.034017195821676
2018,Region 3: South,63251125,29.363964904972047,34.59296297417635,63.95692787914838,29.578219152623763
2019,Region 3: South,63718245,30.423338725038647,34.51553543886841,64.93887416390706,29.971037403807966
2020,Region 3: South,63176113,29.373061248639974,34.78328438313386,64.15634563177383,28.184317708815037
2021,Region 3: South,53180612,29.214327383069605,37.55956174592349,66.7738891289931,28.285779763121194
2022,Region 3: South,64925397,28.83222838976248,36.923150846501564,65.75537923626406,28.486416999498676
2023,Region 3: South,63454302,29.62425741126268,36.12691375755737,65.75117116882005,29.36895618204105
2011,Region 4: West,36521125,28.479364759437175,24.42793918040586,52.90730393984303,21.019875378975865
2012,Region 4: West,36886418,28.900962497903706,24.30734633815623,53.20830883605993,20.853380396003757
2013,Region 4: West,36886418,28.847419941941777,24.2610239438267,53.10844388576847,22.102044047757634
2014,Region 4: West,37724204,28.271925528236462,25.79964232247286,54.07156785070932,21.72692471655598
2015,Region 4: West,38155074,30.046581345904343,24.54349302271043,54.59007436861477,21.045356612334178
2016,Region 4: West,38449493,29.15022532286707,25.76928591230059,54.91951123516765,21.604031725463845
2017,Region 4: West,38809238,29.276112574021678,26.435154794845495,55.711267368867176,22.081223653502295
2018,Region 4: West,39085733,29.89122965917001,26.664409724643008,56.555639383813016,22.045113921747355
2019,Region 4: West,39271671,29.888533197377825,28.273709985500744,58.16224318287857,23.532214170362142
2020,Region 4: West,38954974,29.836629697147277,28.993978412102138,58.830608109249404,21.60825893247933
2021,Region 4: West,39204403,29.93584089266708,29.33775258865694,59.27359348132401,22.079235148664296
2022,Region 4: West,39198747,29.381409171063556,29.56562741661104,58.947036587674596,22.994237928064383
2023,Region 4: West,39368591,29.699764863314513,28.794056223653016,58.49382108696752,23.301193382816265
