Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2478327,30.5,31.8,62.3,35.3
2012,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2485732,30.1,34.1,64.2,30.4
2013,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2485732,30.9,34.0,64.9,35.6
2014,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2501408,29.8,32.9,62.7,30.8
2015,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2506169,28.4,36.4,64.8,33.7
2016,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2507248,29.5,35.2,64.7,32.9
2017,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2514851,30.2,37.4,67.6,35.8
2018,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2518600,29.6,37.8,67.4,33.8
2019,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2533574,30.1,36.2,66.30000000000001,34.3
2020,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2527452,29.8,40.3,70.1,32.1
2021,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2593981,27.7,41.6,69.3,35.7
2022,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2613048,30.5,40.6,71.1,34.2
2023,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2636667,29.7,40.7,70.4,32.9
