Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349802,31.3,26.7,58.0,24.0
2012,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,350355,32.8,25.4,58.199999999999996,20.1
2013,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,350355,31.2,27.5,58.7,21.7
2014,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351150,29.4,30.2,59.599999999999994,20.3
2015,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349737,30.9,30.5,61.4,23.2
2016,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351321,31.7,30.3,62.0,21.2
2017,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,354019,26.5,36.1,62.6,20.2
2018,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,354486,28.3,28.5,56.8,22.1
2019,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351112,31.4,30.6,62.0,21.2
2020,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,352337,30.0,29.6,59.6,24.7
2021,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349552,29.6,34.9,64.5,22.3
2022,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,347916,30.1,33.3,63.4,24.2
2023,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,347551,28.3,34.3,62.599999999999994,21.2
