,Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
0,2011,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349802,31.3,26.7,58.0,24.0
1,2012,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,350355,32.8,25.4,58.199999999999996,20.1
2,2013,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,350355,31.2,27.5,58.7,21.7
3,2014,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351150,29.4,30.2,59.599999999999994,20.3
4,2015,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349737,30.9,30.5,61.4,23.2
5,2016,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351321,31.7,30.3,62.0,21.2
6,2017,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,354019,26.5,36.1,62.6,20.2
7,2018,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,354486,28.3,28.5,56.8,22.1
8,2019,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,351112,31.4,30.6,62.0,21.2
9,2020,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,352337,30.0,29.6,59.6,24.7
10,2021,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,349552,29.6,34.9,64.5,22.3
11,2022,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,347916,30.1,33.3,63.4,24.2
12,2023,Alaska,Division 9: Pacific,CENS-D9,Region 4: West,347551,28.3,34.3,62.599999999999994,21.2
13,2011,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2478327,30.5,31.8,62.3,35.3
14,2012,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2485732,30.1,34.1,64.2,30.4
15,2013,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2485732,30.9,34.0,64.9,35.6
16,2014,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2501408,29.8,32.9,62.7,30.8
17,2015,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2506169,28.4,36.4,64.8,33.7
18,2016,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2507248,29.5,35.2,64.7,32.9
19,2017,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2514851,30.2,37.4,67.6,35.8
20,2018,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2518600,29.6,37.8,67.4,33.8
21,2019,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2533574,30.1,36.2,66.30000000000001,34.3
22,2020,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2527452,29.8,40.3,70.1,32.1
23,2021,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2593981,27.7,41.6,69.3,35.7
24,2022,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2613048,30.5,40.6,71.1,34.2
25,2023,Alabama,Division 6: East South Central,CENS-D6,Region 3: South,2636667,29.7,40.7,70.4,32.9
26,2011,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1490129,28.6,31.2,59.8,34.1
27,2012,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1499866,26.8,35.1,61.900000000000006,33.7
28,2013,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1499866,31.1,34.1,65.2,36.4
29,2014,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1509591,29.6,36.0,65.6,32.4
30,2015,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1514628,32.0,33.9,65.9,37.9
31,2016,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1519466,27.0,39.4,66.4,35.4
32,2017,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1524597,28.8,37.4,66.2,35.9
33,2018,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1537145,29.4,39.4,68.8,33.4
34,2019,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1543099,29.2,39.0,68.2,34.1
35,2020,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1533362,24.8,39.1,63.900000000000006,34.0
36,2021,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1532210,28.9,38.6,67.5,32.9
37,2022,Arkansas,Division 7: West South Central,CENS-D7,Region 3: South,1541149,29.4,39.6,69.0,34.5
