Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,California,Division 9: Pacific,CENS-D9,Region 4: West,18941220,28.5,24.5,53.0,20.1
2012,California,Division 9: Pacific,CENS-D9,Region 4: West,19123657,29.8,23.8,53.6,21.1
2013,California,Division 9: Pacific,CENS-D9,Region 4: West,19123657,29.7,23.1,52.8,21.8
2014,California,Division 9: Pacific,CENS-D9,Region 4: West,19538043,27.6,25.4,53.0,23.0
2015,California,Division 9: Pacific,CENS-D9,Region 4: West,19704260,30.2,23.7,53.9,20.3
2016,California,Division 9: Pacific,CENS-D9,Region 4: West,19758786,29.5,25.2,54.7,22.3
2017,California,Division 9: Pacific,CENS-D9,Region 4: West,19886602,29.6,25.8,55.400000000000006,21.1
2018,California,Division 9: Pacific,CENS-D9,Region 4: West,19883492,30.4,25.6,56.0,22.5
2019,California,Division 9: Pacific,CENS-D9,Region 4: West,19871429,30.3,28.0,58.3,24.3
2020,California,Division 9: Pacific,CENS-D9,Region 4: West,19783141,30.0,29.8,59.8,21.9
2021,California,Division 9: Pacific,CENS-D9,Region 4: West,19618902,29.3,28.7,58.0,22.0
2022,California,Division 9: Pacific,CENS-D9,Region 4: West,19492917,29.2,27.9,57.099999999999994,23.9
2023,California,Division 9: Pacific,CENS-D9,Region 4: West,19514495,30.2,26.9,57.099999999999994,24.7
