Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1836914,28.3,23.6,51.900000000000006,27.0
2012,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1840541,29.2,24.1,53.3,23.3
2013,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1840541,31.4,24.4,55.8,26.5
2014,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1842561,28.1,26.0,54.1,23.2
2015,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1838823,29.8,23.9,53.7,25.3
2016,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1831299,29.2,25.0,54.2,22.8
2017,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1837537,31.0,24.4,55.4,25.5
2018,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1832132,30.3,26.4,56.7,24.6
2019,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1821510,31.0,28.3,59.3,25.3
2020,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1828861,28.4,30.0,58.4,22.4
2021,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1837552,28.7,30.7,59.4,26.3
2022,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1849516,30.3,30.8,61.1,26.5
2023,Connecticut,Division 1: New England,CENS-D1,Region 1: Northeast,1841458,29.7,30.0,59.7,28.5
