Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,9736393,30.4,25.6,56.0,29.2
2012,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,9876567,31.2,23.9,55.099999999999994,26.1
2013,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,9876567,30.0,25.3,55.3,30.0
2014,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10171069,29.5,26.6,56.1,26.6
2015,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10380034,32.0,25.9,57.9,26.9
2016,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10541579,30.1,26.6,56.7,32.3
2017,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10730133,30.8,27.3,58.1,31.3
2018,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10894649,30.8,30.2,61.0,29.4
2019,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10979732,32.5,27.2,59.7,27.2
2020,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,10842330,30.1,27.9,58.0,29.9
2021,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,11066608,,,,
2022,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,11291355,30.1,30.8,60.900000000000006,26.6
2023,Florida,Division 5: South Atlantic,CENS-D5,Region 3: South,11494151,29.9,29.3,59.2,27.8
