Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5006214,28.4,29.3,57.7,29.7
2012,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5068892,29.9,30.5,60.4,25.7
2013,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5068892,29.8,31.5,61.3,31.1
2014,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5175404,28.4,32.4,60.8,25.8
2015,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5239402,27.2,32.3,59.5,29.6
2016,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5292221,28.8,33.1,61.900000000000006,30.2
2017,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5358658,27.9,33.6,61.5,32.9
2018,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5399185,31.0,33.3,64.3,29.3
2019,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5447297,29.5,33.6,63.1,29.6
2020,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5402643,27.5,35.2,62.7,27.6
2021,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5529422,30.7,35.8,66.5,26.3
2022,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5588925,26.5,39.9,66.4,27.3
2023,Georgia,Division 5: South Atlantic,CENS-D5,Region 3: South,5650723,29.6,38.3,67.9,27.0
