Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,686210,27.6,19.2,46.8,24.4
2012,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,691117,26.2,20.3,46.5,22.6
2013,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,691117,27.0,18.7,45.7,25.4
2014,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,702248,28.3,21.0,49.3,23.2
2015,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,706968,28.0,19.7,47.7,25.5
2016,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,710500,26.5,21.4,47.9,22.1
2017,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,711188,28.0,22.4,50.4,28.3
2018,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,709789,28.3,23.0,51.3,23.5
2019,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,708017,27.0,21.9,48.9,27.2
2020,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,707824,27.6,22.3,49.900000000000006,21.7
2021,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,715949,29.6,21.5,51.1,22.8
2022,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,714887,27.0,24.8,51.8,24.5
2023,Hawaii,Division 9: Pacific,CENS-D9,Region 4: West,715998,27.2,25.3,52.5,25.3
