Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,790071,27.6,27.9,55.5,22.2
2012,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,797016,28.7,26.2,54.9,20.4
2013,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,797016,28.9,27.9,56.8,23.5
2014,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,817414,29.6,29.2,58.8,18.6
2015,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,828111,30.6,27.3,57.900000000000006,20.6
2016,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,841937,30.0,26.6,56.6,21.4
2017,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,854223,30.4,28.2,58.599999999999994,22.4
2018,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,872050,28.8,27.1,55.900000000000006,22.0
2019,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,889021,27.7,30.6,58.3,23.8
2020,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,874604,27.8,30.2,58.0,21.6
2021,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,946610,30.9,31.8,62.7,21.2
2022,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,962108,30.9,33.0,63.9,23.0
2023,Idaho,Division 8: Mountain,CENS-D8,Region 4: West,976269,30.7,31.1,61.8,22.0
