Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6559951,29.2,26.5,55.7,26.9
2012,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6558602,29.8,28.0,57.8,23.4
2013,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6558602,29.9,30.5,60.4,26.7
2014,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6559975,28.6,30.7,59.3,25.7
2015,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6549560,27.5,31.9,59.4,25.5
2016,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6511815,27.5,31.0,58.5,26.2
2017,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6507123,31.0,30.5,61.5,25.8
2018,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6475018,28.7,33.2,61.900000000000006,27.0
2019,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6454516,28.7,32.2,60.900000000000006,26.8
2020,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6469081,33.9,30.7,64.6,25.0
2021,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6407105,29.8,34.7,64.5,29.4
2022,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6352997,27.4,35.7,63.1,24.9
2023,Illinois,Division 3: East North Central,CENS-D3,Region 2: Midwest,6352031,32.4,36.0,68.4,22.1
