Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1448050,28.5,29.1,57.6,26.5
2012,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1451288,29.8,29.0,58.8,24.9
2013,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1451288,29.8,29.4,59.2,26.9
2014,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1459076,28.4,31.5,59.9,25.7
2015,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1462417,27.9,33.3,61.199999999999996,27.1
2016,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1458436,29.2,30.9,60.099999999999994,25.9
2017,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1460550,29.1,32.4,61.5,28.7
2018,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1461765,28.1,35.6,63.7,24.7
2019,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1467027,29.3,36.4,65.7,28.0
2020,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1460700,29.3,34.8,64.1,23.3
2021,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1459972,28.8,36.8,65.6,25.5
2022,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1463359,28.1,36.8,64.9,25.8
2023,Kansas,Division 4: West North Central,CENS-D4,Region 2: Midwest,1464046,29.1,36.2,65.30000000000001,26.8
