Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,677112,30.5,27.6,58.1,22.9
2012,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,678478,30.2,26.6,56.8,20.9
2013,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,678478,30.2,28.7,58.9,23.0
2014,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,682467,28.9,28.5,57.4,20.2
2015,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,678298,30.6,30.9,61.5,23.9
2016,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,680777,29.1,29.5,58.6,22.4
2017,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,681144,32.6,26.9,59.5,23.7
2018,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,682670,30.1,29.2,59.3,21.7
2019,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,687882,28.3,30.5,58.8,30.0
2020,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,684197,29.7,29.7,59.4,21.3
2021,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,698764,28.8,32.2,61.0,27.4
2022,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,700783,27.5,33.6,61.1,23.2
2023,Maine,Division 1: New England,CENS-D1,Region 1: Northeast,710596,30.1,33.5,63.6,23.1
