Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1045666,30.0,26.3,56.3,26.4
2012,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050661,29.9,27.5,57.4,24.0
2013,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050661,30.3,27.1,57.400000000000006,25.6
2014,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1052793,30.9,29.4,60.3,26.1
2015,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1049966,31.0,28.5,59.5,23.7
2016,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050791,31.9,27.6,59.5,23.4
2017,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1053926,31.8,29.4,61.2,26.7
2018,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1055787,30.4,33.5,63.9,25.1
2019,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1060121,31.1,32.5,63.6,27.0
2020,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1059014,31.5,31.1,62.6,24.8
2021,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1063522,31.4,35.6,67.0,26.4
2022,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1065559,32.8,32.6,65.4,27.1
2023,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1065826,33.1,33.6,66.7,25.4
