Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1913665,28.6,31.5,60.1,31.7
2012,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1925013,29.8,31.4,61.2,29.1
2013,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1925013,30.7,32.2,62.900000000000006,34.1
2014,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1957489,30.6,32.5,63.1,30.4
2015,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1971783,30.3,34.0,64.3,33.1
2016,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1980288,30.6,32.2,62.800000000000004,31.2
2017,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1981878,29.1,36.1,65.2,34.8
2018,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1993003,29.0,37.0,66.0,29.1
2019,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1994494,31.3,37.2,68.5,35.6
2020,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1992725,27.6,38.6,66.2,31.7
2021,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2001932,29.3,39.0,68.3,31.0
2022,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2015605,27.8,41.6,69.4,33.4
2023,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2039136,27.8,39.3,67.1,33.8
