Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6526048,30.9,27.6,58.5,28.3
2012,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6534203,28.8,29.2,58.0,25.6
2013,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6534203,28.0,29.7,57.7,28.1
2014,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6533959,28.9,29.1,58.0,24.5
2015,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6540257,29.9,30.1,60.0,29.6
2016,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6521357,30.1,29.3,59.400000000000006,24.7
2017,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6533016,30.3,30.5,60.8,25.9
2018,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6535440,29.4,30.8,60.2,26.9
2019,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6529462,30.6,33.2,63.800000000000004,26.7
2020,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6525743,30.8,32.1,62.900000000000006,27.6
2021,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6564424,29.3,32.6,61.900000000000006,26.8
2022,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6572178,30.1,34.3,64.4,25.5
2023,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6572348,,,,
