Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1399583,27.4,22.9,50.3,19.5
2012,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1420259,26.1,24.0,50.1,18.0
2013,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1420259,28.1,23.7,51.8,21.5
2014,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1463375,27.0,25.8,52.8,18.1
2015,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1489536,27.6,24.0,51.6,20.9
2016,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1513072,27.7,25.1,52.8,16.6
2017,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1538400,28.6,24.3,52.900000000000006,20.9
2018,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1568648,27.7,26.8,54.5,19.2
2019,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1595287,28.2,28.9,57.099999999999994,19.4
2020,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1564289,28.6,28.6,57.2,18.0
2021,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1643205,28.2,31.4,59.599999999999994,19.4
2022,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1664683,29.3,30.5,59.8,18.6
2023,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1685987,28.1,30.2,58.3,17.8
