Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4117825,28.3,28.6,56.900000000000006,26.6
2012,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4170822,30.1,27.5,57.6,24.6
2013,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4170822,30.7,27.3,58.0,28.3
2014,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4233618,30.5,29.3,59.8,25.8
2015,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4256667,28.4,29.7,58.099999999999994,25.9
2016,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4276323,30.6,29.5,60.1,25.2
2017,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4306266,29.7,31.6,61.3,27.2
2018,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4326947,31.4,30.2,61.599999999999994,23.9
2019,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4333720,29.5,34.2,63.7,27.0
2020,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4322815,30.1,31.8,61.900000000000006,23.1
2021,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4368343,29.5,34.9,64.4,24.6
2022,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4384305,27.0,36.3,63.3,23.8
2023,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4413602,29.7,36.0,65.7,26.6
