Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,940890,31.4,34.2,65.6,37.5
2012,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,943732,30.0,33.1,63.1,34.5
2013,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,943732,28.6,34.9,63.5,33.4
2014,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,935640,28.5,36.0,64.5,32.2
2015,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,935569,31.0,33.8,64.8,33.0
2016,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,930189,28.6,37.4,66.0,31.8
2017,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,918691,29.2,36.7,65.9,32.7
2018,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,911175,29.6,38.5,68.1,31.0
2019,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,906286,28.6,39.8,68.4,33.7
2020,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,913683,28.8,37.6,66.4,33.2
2021,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,895599,28.5,41.8,70.3,35.4
2022,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,893055,28.8,40.5,69.3,34.9
2023,West Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,887440,29.0,42.1,71.1,37.1
