Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2876635,30.6,26.1,56.7,22.3
2012,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2883661,29.5,29.8,59.3,21.2
2013,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2883661,30.9,28.7,59.599999999999994,23.0
2014,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2899582,29.6,30.5,60.1,22.9
2015,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2903040,28.7,30.1,58.8,21.4
2016,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2905788,30.0,29.9,59.9,21.7
2017,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2915029,28.3,31.6,59.900000000000006,22.8
2018,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2922286,30.3,33.1,63.400000000000006,23.5
2019,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2929630,28.4,35.5,63.9,25.6
2020,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2917192,30.3,32.0,62.3,22.0
2021,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2940659,29.0,34.5,63.5,22.9
2022,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2933768,29.6,37.3,66.9,23.4
2023,Wisconsin,Division 3: East North Central,CENS-D3,Region 2: Midwest,2951547,29.5,37.5,67.0,29.7
