Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,278742,29.3,23.8,53.1,24.3
2012,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283676,30.6,26.8,57.400000000000006,22.6
2013,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283676,29.3,27.4,56.7,25.1
2014,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,286972,27.8,29.2,57.0,22.5
2015,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,291005,29.9,27.8,57.7,26.8
2016,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,287296,29.8,27.2,57.0,24.5
2017,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283536,30.0,28.1,58.1,23.3
2018,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,285118,30.3,27.8,58.1,22.3
2019,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,282754,30.0,28.5,58.5,23.7
2020,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,285068,28.1,31.4,59.5,24.6
2021,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,282796,32.3,31.5,63.8,25.3
2022,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,283526,33.0,34.3,67.3,25.2
2023,Wyoming,Division 8: Mountain,CENS-D8,Region 4: West,288322,30.1,34.7,64.80000000000001,27.6
