Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,28.7,28.6,57.3,27.4
2012,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,32.5,27.8,60.3,26.1
2013,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,27.0,31.5,58.5,30.3
2014,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,31.2,31.9,63.099999999999994,26.9
2015,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,30.2,31.2,61.4,30.9
2016,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,32.3,30.7,63.0,30.5
2017,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,32.5,31.3,63.8,33.7
2018,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,29.2,33.5,62.7,30.0
2019,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,29.5,35.0,64.5,28.6
2020,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,28.9,37.7,66.6,26.5
2021,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,29.7,36.1,65.8,31.8
2022,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,28.1,40.5,68.6,26.6
2023,Delaware,Division 5: South Atlantic,CENS-D5,Region 3: South,30.5,37.7,68.2,29.1
