Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.6,27.4,58.0,25.0
2012,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.8,29.3,58.1,23.2
2013,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.2,30.1,60.3,28.2
2014,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.3,29.8,60.1,24.1
2015,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.8,29.3,59.1,25.6
2016,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.6,30.0,60.6,23.6
2017,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.0,36.4,65.4,24.5
2018,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.4,34.6,64.0,23.4
2019,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.9,32.6,62.5,25.7
2020,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.7,36.2,65.9,24.7
2021,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.5,36.4,65.9,26.9
2022,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.3,39.1,67.4,28.3
2023,Iowa,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.7,38.6,68.3,25.1
