Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,29.2,31.1,60.3,30.5
2012,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,30.4,31.0,61.4,31.8
2013,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,30.1,33.1,63.2,31.7
2014,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,32.2,29.9,62.1,30.5
2015,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,28.8,32.9,61.7,33.0
2016,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,29.6,35.2,64.80000000000001,31.7
2017,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,30.8,32.5,63.3,37.6
2018,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,27.9,36.8,64.69999999999999,34.5
2019,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,30.9,37.9,68.8,34.3
2020,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,29.1,36.1,65.2,32.6
2021,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,28.0,40.9,68.9,32.3
2022,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,31.2,36.7,67.9,27.1
2023,Kentucky,Division 6: East South Central,CENS-D6,Region 3: South,,,,
