Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,29.6,33.8,63.4,37.0
2012,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,30.4,35.9,66.3,33.7
2013,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,27.4,35.0,62.4,35.5
2014,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,28.8,35.7,64.5,32.7
2015,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,29.0,36.5,65.5,34.7
2016,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,28.5,36.5,65.0,32.3
2017,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,30.6,36.5,67.1,33.5
2018,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,27.3,39.5,66.8,34.1
2019,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,30.5,38.3,68.8,34.7
2020,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,29.5,39.8,69.3,33.3
2021,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,28.7,41.2,69.9,33.0
2022,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,27.6,42.5,70.1,32.1
2023,Louisiana,Division 7: West South Central,CENS-D7,Region 3: South,28.2,41.9,70.1,33.6
