Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,29.9,27.9,57.8,27.8
2012,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,30.2,28.7,58.9,25.7
2013,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,30.9,28.8,59.7,27.1
2014,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,30.1,31.3,61.400000000000006,23.8
2015,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,31.1,29.8,60.900000000000006,26.0
2016,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,28.2,31.5,59.7,26.3
2017,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,29.2,32.3,61.5,27.8
2018,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,30.1,33.1,63.2,25.1
2019,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,28.6,34.5,63.1,24.9
2020,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,31.4,31.6,63.0,23.4
2021,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,29.8,35.4,65.2,24.7
2022,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,30.7,34.8,65.5,24.1
2023,Maryland,Division 5: South Atlantic,CENS-D5,Region 3: South,29.9,35.2,65.1,25.8
