Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,29.1,21.4,50.5,24.8
2012,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,27.9,21.2,49.099999999999994,21.1
2013,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,27.3,21.4,48.7,24.6
2014,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,28.1,23.0,51.1,21.9
2015,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,27.5,23.0,50.5,28.0
2016,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,30.7,21.1,51.8,21.3
2017,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,29.1,24.2,53.3,26.4
2018,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,29.7,24.3,54.0,24.4
2019,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,28.9,24.3,53.2,27.0
2020,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,29.2,23.4,52.599999999999994,21.5
2021,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,28.9,27.1,56.0,23.5
2022,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,29.6,26.5,56.1,23.0
2023,Massachusetts,Division 1: New England,CENS-D1,Region 1: Northeast,28.6,27.8,56.400000000000006,23.9
