Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.4,22.9,53.3,22.1
2012,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.8,23.6,54.400000000000006,18.3
2013,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.5,23.8,52.3,23.3
2014,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.3,25.4,55.7,21.4
2015,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.5,24.3,54.8,21.3
2016,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.1,25.9,56.0,18.4
2017,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.6,26.4,57.0,24.5
2018,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.3,27.5,57.8,21.3
2019,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.6,29.1,58.7,19.0
2020,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,31.3,28.2,59.5,19.8
2021,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.9,31.0,59.9,21.8
2022,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.0,32.6,62.6,22.1
2023,Minnesota,Division 4: West North Central,CENS-D4,Region 2: Midwest,28.5,33.1,61.6,23.9
