Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Montana,Division 8: Mountain,CENS-D8,Region 4: West,28.6,23.3,51.900000000000006,24.3
2012,Montana,Division 8: Mountain,CENS-D8,Region 4: West,29.3,23.4,52.7,19.3
2013,Montana,Division 8: Mountain,CENS-D8,Region 4: West,30.1,23.1,53.2,21.5
2014,Montana,Division 8: Mountain,CENS-D8,Region 4: West,30.4,24.9,55.3,19.6
2015,Montana,Division 8: Mountain,CENS-D8,Region 4: West,28.5,23.4,51.9,22.4
2016,Montana,Division 8: Mountain,CENS-D8,Region 4: West,29.3,26.0,55.3,20.5
2017,Montana,Division 8: Mountain,CENS-D8,Region 4: West,30.1,23.3,53.400000000000006,23.3
2018,Montana,Division 8: Mountain,CENS-D8,Region 4: West,30.7,25.8,56.5,25.0
2019,Montana,Division 8: Mountain,CENS-D8,Region 4: West,29.0,29.5,58.5,20.0
2020,Montana,Division 8: Mountain,CENS-D8,Region 4: West,30.4,28.2,58.599999999999994,19.5
2021,Montana,Division 8: Mountain,CENS-D8,Region 4: West,28.8,31.9,60.7,23.2
2022,Montana,Division 8: Mountain,CENS-D8,Region 4: West,29.6,30.6,60.2,21.0
2023,Montana,Division 8: Mountain,CENS-D8,Region 4: West,28.5,30.9,59.4,21.0
