Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.2,27.6,56.8,25.4
2012,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.5,28.1,57.6,21.6
2013,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.2,28.4,58.599999999999994,24.3
2014,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.5,28.7,59.2,21.4
2015,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.4,29.8,60.2,25.4
2016,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.4,31.4,61.8,24.1
2017,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.2,32.3,62.5,25.0
2018,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.9,33.8,63.699999999999996,24.3
2019,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.7,34.7,64.4,27.3
2020,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.7,33.3,64.0,22.2
2021,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.1,35.0,65.1,25.1
2022,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.7,35.4,66.1,26.5
2023,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.7,36.6,67.3,24.2
