Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.1,24.1,53.2,22.0
2012,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,28.4,25.6,54.0,20.8
2013,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.0,24.8,53.8,22.9
2014,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.0,25.3,54.3,20.3
2015,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,30.1,24.6,54.7,23.0
2016,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,28.6,26.5,55.1,20.6
2017,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,30.7,25.4,56.099999999999994,25.3
2018,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.9,28.1,58.0,22.9
2019,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,30.5,30.5,61.0,23.9
2020,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.5,27.9,57.4,21.8
2021,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.9,27.9,57.8,21.5
2022,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,31.9,30.4,62.3,22.2
2023,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,29.3,30.7,60.0,22.3
