Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.9,30.0,59.9,28.7
2012,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,30.3,29.6,59.900000000000006,27.5
2013,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,30.3,30.2,60.5,28.0
2014,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.7,31.1,60.8,24.5
2015,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.6,31.3,60.900000000000006,27.1
2016,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.0,33.3,62.3,25.2
2017,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.3,33.8,63.099999999999994,25.9
2018,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,30.6,33.9,64.5,27.1
2019,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,29.0,37.4,66.4,27.7
2020,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,30.7,34.4,65.1,23.2
2021,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,27.3,37.9,65.2,24.9
2022,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,28.8,36.1,64.9,24.8
2023,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,28.5,36.5,65.0,23.5
