Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.8,25.4,55.2,26.0
2012,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.9,26.7,57.599999999999994,23.2
2013,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.9,28.0,58.9,27.7
2014,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.7,29.5,60.2,21.2
2015,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.4,27.1,57.5,25.4
2016,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.3,31.6,61.900000000000006,23.0
2017,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.8,31.2,62.0,27.8
2018,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.1,34.2,64.30000000000001,21.7
2019,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,29.9,33.1,63.0,28.3
2020,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,31.8,31.5,63.3,25.2
2021,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.3,33.1,63.400000000000006,26.6
2022,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.7,33.6,64.3,24.4
2023,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,30.5,35.2,65.7,22.9
