Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.9,27.6,57.5,28.6
2012,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.5,29.7,59.2,27.1
2013,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.7,30.8,59.5,29.6
2014,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.2,32.5,61.7,26.0
2015,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,33.0,28.4,61.4,28.1
2016,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.7,32.1,61.8,28.6
2017,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.9,34.1,64.0,31.0
2018,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.8,34.3,64.1,28.5
2019,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.6,35.7,65.30000000000001,30.4
2020,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,27.5,37.1,64.6,27.1
2021,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.4,39.0,67.4,28.9
2022,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.0,39.1,68.1,28.0
2023,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.9,37.0,65.9,28.9
