Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.4,23.3,54.7,27.7
2012,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,29.8,23.8,53.6,25.6
2013,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.5,26.1,57.6,28.3
2014,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,29.0,25.8,54.8,25.1
2015,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.4,24.1,55.5,29.6
2016,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.5,25.3,56.8,28.1
2017,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,30.2,29.0,59.2,29.1
2018,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.0,27.1,58.1,28.4
2019,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,29.6,28.2,57.8,28.3
2020,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,28.8,28.4,57.2,25.7
2021,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,30.8,29.2,60.0,26.7
2022,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,31.4,31.9,63.3,26.5
2023,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,30.3,31.5,61.8,30.3
