Year,State,Census Division,Census Division Code,Region,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
2011,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.7,30.8,60.5,29.3
2012,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.0,30.9,58.9,27.4
2013,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.6,32.6,62.2,33.1
2014,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.2,33.0,62.2,28.1
2015,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.8,30.7,60.5,31.0
2016,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,30.4,32.6,63.0,28.5
2017,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.0,33.7,62.7,31.6
2018,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.7,34.2,62.900000000000006,30.4
2019,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,28.8,35.7,64.5,32.0
2020,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,27.2,38.1,65.3,28.9
2021,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,27.6,38.2,65.80000000000001,27.5
2022,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,29.4,38.8,68.19999999999999,30.8
2023,Indiana,Division 3: East North Central,CENS-D3,Region 2: Midwest,27.7,40.5,68.2,28.1
